Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1713713141.261431,138364,0,1
1,NewOrder,1713713141.400017,110103,0,1
2,Payment,1713713141.510156,131421,0,1
1,NewOrder,1713713141.641618,148850,0,1
2,Payment,1713713141.790506,95669,0,1
2,Payment,1713713141.886208,119699,0,1
1,NewOrder,1713713142.005938,174072,0,1
3,OrderStatus,1713713142.180052,11062,0,1
1,NewOrder,1713713142.191143,145013,0,1
2,Payment,1713713142.336198,100540,0,1
2,Payment,1713713142.436775,125719,0,1
1,NewOrder,1713713142.562523,222589,0,1
1,NewOrder,1713713142.785156,216215,0,1
2,Payment,1713713143.001414,112479,0,1
2,Payment,1713713143.113927,125016,0,1
1,NewOrder,1713713143.238974,198483,0,1
1,NewOrder,1713713143.437499,155715,0,1
2,Payment,1713713143.593264,112760,0,1
1,NewOrder,1713713143.706067,150492,0,1
2,Payment,1713713143.856601,106917,0,1
2,Payment,1713713143.963550,132120,0,1
1,NewOrder,1713713144.095712,144145,0,1
2,Payment,1713713144.239892,106717,0,1
2,Payment,1713713144.346642,125643,0,1
1,NewOrder,1713713144.472317,168466,0,1
4,Delivery,1713713144.640815,407268,0,1
1,NewOrder,1713713145.048126,156777,0,1
2,Payment,1713713145.204941,112023,0,1
1,NewOrder,1713713145.316999,168462,0,1
2,Payment,1713713145.485513,83718,0,1
1,NewOrder,1713713145.569276,149765,0,1
1,NewOrder,1713713145.719080,149694,0,1
2,Payment,1713713145.868815,100893,0,1
1,NewOrder,1713713145.969742,150545,0,1
2,Payment,1713713146.120328,106879,0,1
1,NewOrder,1713713146.227240,210937,0,1
1,NewOrder,1713713146.438221,107157,0,1
2,Payment,1713713146.545423,118911,0,1
2,Payment,1713713146.664365,120600,0,1
3,OrderStatus,1713713146.784998,8194,0,1
1,NewOrder,1713713146.793220,159392,0,1
1,NewOrder,1713713146.952645,143816,0,1
2,Payment,1713713147.096497,112654,0,1
2,Payment,1713713147.209224,131633,0,1
3,OrderStatus,1713713147.340903,11464,0,1
2,Payment,1713713147.352399,114073,0,1
1,NewOrder,1713713147.466503,193238,0,1
1,NewOrder,1713713147.659778,113185,0,1
2,Payment,1713713147.773001,107180,0,1
1,NewOrder,1713713147.880215,191882,0,1
1,NewOrder,1713713148.072135,107578,0,1
1,NewOrder,1713713148.179745,172574,0,1
1,NewOrder,1713713148.352353,121690,0,1
