Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,407.268,407.268,407.268,407.268,407.268,407.268,407.268,407.268,407.268,0.002
5,0.200,384.144,384.144,384.144,384.144,384.144,384.144,384.144,384.144,384.144,0.003
10,0.200,403.471,403.471,403.471,403.471,403.471,403.471,403.471,403.471,403.471,0.002
15,0.400,395.424,392.913,392.913,397.934,397.934,397.934,397.934,397.934,397.934,0.003
20,0.200,396.715,396.715,396.715,396.715,396.715,396.715,396.715,396.715,396.715,0.003
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.400,576.551,574.807,574.807,578.295,578.295,578.295,578.295,578.295,578.295,0.002
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.800,470.628,458.436,464.585,473.775,485.717,485.717,485.717,485.717,485.717,0.002
45,0.400,489.463,487.398,487.398,491.527,491.527,491.527,491.527,491.527,491.527,0.002
50,0.400,537.066,498.315,498.315,575.817,575.817,575.817,575.817,575.817,575.817,0.002
55,0.600,558.003,515.035,515.035,577.252,581.721,581.721,581.721,581.721,581.721,0.002
60,0.200,575.700,575.700,575.700,575.700,575.700,575.700,575.700,575.700,575.700,0.002
65,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
75,0.200,582.008,582.008,582.008,582.008,582.008,582.008,582.008,582.008,582.008,0.002
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
85,0.200,491.343,491.343,491.343,491.343,491.343,491.343,491.343,491.343,491.343,0.002
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
95,0.200,492.512,492.512,492.512,492.512,492.512,492.512,492.512,492.512,492.512,0.002
100,0.200,507.638,507.638,507.638,507.638,507.638,507.638,507.638,507.638,507.638,0.002
105,0.400,578.361,575.754,575.754,580.967,580.967,580.967,580.967,580.967,580.967,0.002
110,0.200,584.406,584.406,584.406,584.406,584.406,584.406,584.406,584.406,584.406,0.002
115,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
120,0.400,587.468,575.672,575.672,599.264,599.264,599.264,599.264,599.264,599.264,0.002
125,0.400,575.694,570.041,570.041,581.347,581.347,581.347,581.347,581.347,581.347,0.002
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
135,0.600,556.129,494.780,494.780,550.161,623.447,623.447,623.447,623.447,623.447,0.002
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
145,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.200,492.094,492.094,492.094,492.094,492.094,492.094,492.094,492.094,492.094,0.002
155,0.400,508.965,497.484,497.484,520.446,520.446,520.446,520.446,520.446,520.446,0.002
160,0.400,483.558,476.747,476.747,490.368,490.368,490.368,490.368,490.368,490.368,0.002
165,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.400,483.357,473.598,473.598,493.116,493.116,493.116,493.116,493.116,493.116,0.002
175,0.200,515.572,515.572,515.572,515.572,515.572,515.572,515.572,515.572,515.572,0.002
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
185,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
