Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,164.372,110.103,148.850,155.715,174.072,216.215,222.589,222.589,222.589,0.006
5,3.800,153.638,107.157,121.690,160.737,174.307,193.238,193.360,193.360,193.360,0.007
10,3.800,170.274,102.233,148.468,167.378,190.883,217.894,305.442,305.442,305.442,0.006
15,3.600,160.660,104.507,135.532,166.155,182.018,204.478,212.418,212.418,212.418,0.006
20,3.000,150.934,107.530,123.111,150.181,167.772,195.992,201.907,201.907,201.907,0.007
25,2.600,162.272,113.435,123.186,156.684,171.849,188.235,327.949,327.949,327.949,0.006
30,2.200,172.367,104.172,125.616,174.425,189.230,203.607,339.018,339.018,339.018,0.006
35,3.000,188.426,129.229,148.503,204.619,222.611,235.814,240.471,240.471,240.471,0.005
40,2.600,160.673,107.589,138.682,159.149,194.303,200.797,219.758,219.758,219.758,0.006
45,2.400,145.177,111.759,131.791,138.373,164.103,166.702,194.474,194.474,194.474,0.007
50,2.400,170.567,131.421,150.888,169.061,192.818,197.966,209.110,209.110,209.110,0.006
55,2.600,151.184,108.463,119.745,138.967,181.046,193.463,204.703,204.703,204.703,0.007
60,2.200,180.626,125.406,132.548,185.299,215.731,216.983,239.390,239.390,239.390,0.006
65,3.200,165.070,113.488,151.161,162.937,193.096,197.849,209.536,209.536,209.536,0.006
70,3.000,183.673,120.039,150.180,190.430,217.299,227.589,235.610,235.610,235.610,0.005
75,2.800,185.502,148.806,155.330,184.570,210.705,234.555,245.471,245.471,245.471,0.005
80,4.400,156.644,103.481,131.726,155.843,180.542,190.139,192.992,217.798,217.798,0.006
85,3.600,154.430,107.593,130.546,155.472,174.421,197.882,198.840,198.840,198.840,0.006
90,3.400,161.492,107.860,138.564,161.288,175.282,216.672,229.068,229.068,229.068,0.006
95,3.800,156.982,107.877,125.584,167.744,185.748,198.415,210.263,210.263,210.263,0.006
100,2.800,184.240,137.563,151.837,180.700,209.260,228.737,245.815,245.815,245.815,0.005
105,2.400,191.595,144.847,166.911,181.174,235.253,240.695,240.727,240.727,240.727,0.005
110,2.800,187.381,119.814,163.524,198.460,215.428,228.548,234.603,234.603,234.603,0.005
115,2.400,183.419,127.619,160.154,190.538,209.020,219.058,229.526,229.526,229.526,0.005
120,2.600,194.230,130.744,164.723,192.220,226.232,245.738,246.866,246.866,246.866,0.005
125,2.200,178.532,131.878,150.653,167.732,210.352,221.206,243.883,243.883,243.883,0.006
130,3.000,179.939,105.504,149.069,192.895,211.987,233.021,240.399,240.399,240.399,0.006
135,1.800,181.749,127.473,149.882,171.865,216.523,240.638,240.638,240.638,240.638,0.006
140,3.200,188.360,131.686,172.759,180.307,214.574,234.558,247.533,247.533,247.533,0.005
145,2.400,193.573,136.372,170.417,186.468,223.945,245.429,249.914,249.914,249.914,0.005
150,3.200,162.259,122.712,143.263,156.723,185.010,210.275,216.114,216.114,216.114,0.006
155,2.600,169.506,125.407,139.880,167.228,197.412,218.379,222.039,222.039,222.039,0.006
160,3.000,164.042,107.526,133.661,171.272,189.155,200.063,211.250,211.250,211.250,0.006
165,3.200,154.766,108.701,131.529,151.065,185.883,198.172,210.949,210.949,210.949,0.006
170,3.200,167.612,119.814,144.533,167.285,204.217,204.952,216.698,216.698,216.698,0.006
175,3.000,150.234,107.847,130.764,131.707,186.696,192.869,198.791,198.791,198.791,0.007
180,2.400,180.451,115.056,160.081,176.917,221.655,230.998,240.141,240.141,240.141,0.006
185,3.000,173.586,131.999,149.368,173.529,199.367,216.037,217.300,217.300,217.300,0.006
