Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.200,112.388,83.718,106.717,112.479,125.643,131.421,132.120,132.120,132.120,0.009
5,2.600,117.161,106.088,108.584,114.073,125.625,131.562,131.633,131.633,131.633,0.009
10,2.200,123.393,100.743,101.420,120.093,133.157,135.223,172.627,172.627,172.627,0.008
15,2.200,113.296,89.630,95.258,113.745,119.743,132.681,168.078,168.078,168.078,0.009
20,4.400,107.584,88.065,97.555,107.169,113.710,120.355,140.673,151.152,151.152,0.009
25,3.200,191.075,101.077,109.575,113.711,347.259,377.360,449.820,449.820,449.820,0.005
30,2.200,156.353,92.040,136.141,148.628,173.719,173.875,311.054,311.054,311.054,0.006
35,2.800,147.225,113.822,137.401,143.530,167.437,167.558,173.634,173.634,173.634,0.007
40,2.000,106.101,88.739,99.590,104.020,113.730,133.524,133.524,133.524,133.524,0.009
45,4.000,111.054,80.889,99.293,112.876,119.672,144.869,148.415,148.415,148.415,0.009
50,3.000,115.217,101.199,106.225,119.241,120.348,125.613,130.371,130.371,130.371,0.009
55,2.600,129.964,102.288,108.215,125.562,130.558,149.886,226.537,226.537,226.537,0.008
60,2.600,156.429,124.990,143.311,160.969,167.640,173.760,174.358,174.358,174.358,0.006
65,3.200,147.583,100.604,131.152,166.996,167.579,168.122,173.559,173.559,173.559,0.007
70,3.000,146.837,103.230,130.616,144.429,167.584,168.409,191.838,191.838,191.838,0.007
75,2.400,152.281,124.919,148.838,150.719,167.434,167.614,168.438,168.438,168.438,0.007
80,2.600,111.704,100.488,106.679,112.821,119.694,120.278,127.454,127.454,127.454,0.009
85,3.000,108.534,85.090,100.886,106.750,119.678,121.878,125.657,125.657,125.657,0.009
90,3.400,129.121,99.371,105.873,126.870,141.417,185.703,198.152,198.152,198.152,0.008
95,2.600,110.151,100.142,105.923,106.832,113.047,114.654,137.577,137.577,137.577,0.009
100,2.400,150.751,130.275,142.584,148.453,167.598,169.690,173.371,173.371,173.371,0.007
105,2.000,149.782,131.095,136.629,143.488,167.525,179.469,179.469,179.469,179.469,0.007
110,2.600,146.160,117.039,125.134,143.330,167.545,185.779,191.114,191.114,191.114,0.007
115,3.400,160.905,136.679,143.358,167.306,167.760,176.277,186.374,186.374,186.374,0.006
120,1.600,152.087,130.940,137.305,148.773,167.247,186.089,186.089,186.089,186.089,0.007
125,2.400,151.816,132.651,142.567,149.413,167.566,167.568,174.140,174.140,174.140,0.007
130,3.400,128.740,95.974,110.646,137.646,143.310,157.856,167.500,167.500,167.500,0.008
135,2.600,126.307,97.289,110.643,127.084,143.059,149.568,149.657,149.657,149.657,0.008
140,2.600,154.659,136.469,142.656,149.011,168.661,173.529,185.023,185.023,185.023,0.006
145,3.200,155.074,126.586,143.304,162.194,167.602,178.634,179.558,179.558,179.558,0.006
150,3.200,121.226,95.491,106.895,120.026,133.402,143.730,167.564,167.564,167.564,0.008
155,2.800,123.310,99.377,107.914,117.385,127.714,165.572,167.619,167.619,167.619,0.008
160,3.000,125.248,89.243,113.708,125.610,136.609,136.926,184.186,184.186,184.186,0.008
165,3.800,112.099,98.757,105.657,112.565,119.588,125.122,125.711,125.711,125.711,0.009
170,2.200,115.223,100.512,101.312,106.795,125.560,132.323,160.288,160.288,160.288,0.009
175,3.800,119.118,92.362,100.212,119.756,125.685,155.518,206.283,206.283,206.283,0.008
180,2.600,211.835,95.472,107.045,120.660,377.186,469.654,506.286,506.286,506.286,0.005
185,4.000,105.578,88.466,98.983,104.284,113.714,119.604,119.667,119.667,119.667,0.009
190,3.400,119.841,96.147,105.569,114.179,125.554,132.406,209.126,209.126,209.126,0.008
195,2.200,132.738,100.333,119.588,119.730,144.662,148.999,220.436,220.436,220.436,0.008
200,3.000,152.045,130.867,142.101,154.339,166.763,168.561,169.141,169.141,169.141,0.007
205,3.200,154.315,127.684,143.393,152.102,167.676,179.460,179.514,179.514,179.514,0.006
210,2.200,160.363,125.878,145.700,155.870,180.846,186.386,186.959,186.959,186.959,0.006
215,2.400,146.558,115.978,143.629,149.180,149.456,167.796,168.763,168.763,168.763,0.007
220,2.000,154.674,111.612,135.480,148.145,167.782,219.721,219.721,219.721,219.721,0.006
