Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,45.553,45.553,45.553,45.553,45.553,45.553,45.553,45.553,45.553,0.022
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.400,18.816,17.591,17.591,20.040,20.040,20.040,20.040,20.040,20.040,0.053
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.200,30.182,30.182,30.182,30.182,30.182,30.182,30.182,30.182,30.182,0.033
35,0.200,92.027,92.027,92.027,92.027,92.027,92.027,92.027,92.027,92.027,0.011
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.400,27.051,24.998,24.998,29.104,29.104,29.104,29.104,29.104,29.104,0.037
55,0.200,23.399,23.399,23.399,23.399,23.399,23.399,23.399,23.399,23.399,0.043
60,0.400,23.259,21.218,21.218,25.300,25.300,25.300,25.300,25.300,25.300,0.043
65,0.400,26.153,26.143,26.143,26.163,26.163,26.163,26.163,26.163,26.163,0.038
70,0.400,26.560,23.410,23.410,29.709,29.709,29.709,29.709,29.709,29.709,0.038
75,0.200,21.161,21.161,21.161,21.161,21.161,21.161,21.161,21.161,21.161,0.047
80,0.200,27.377,27.377,27.377,27.377,27.377,27.377,27.377,27.377,27.377,0.037
85,0.200,28.599,28.599,28.599,28.599,28.599,28.599,28.599,28.599,28.599,0.035
