Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.200,143.756,11.062,112.023,138.364,156.777,210.937,222.589,407.268,407.268,0.007
5,7.400,132.512,8.194,108.584,125.625,167.763,191.882,193.360,384.144,384.144,0.008
10,6.400,156.463,10.829,119.445,160.403,178.395,196.593,305.442,403.471,403.471,0.006
15,6.400,154.440,13.095,114.245,145.206,180.235,204.478,392.913,397.934,397.934,0.006
20,8.200,123.730,7.724,98.131,113.710,146.973,167.772,195.992,396.715,396.715,0.008
25,6.400,162.175,7.123,109.583,123.186,187.500,347.259,377.360,449.820,449.820,0.006
30,5.200,185.052,12.144,125.616,148.718,189.019,339.018,574.807,578.295,578.295,0.005
35,6.000,165.985,92.027,137.401,162.669,204.619,233.708,235.814,240.471,240.471,0.006
40,5.800,174.106,7.875,104.020,134.344,194.303,464.585,473.775,485.717,485.717,0.006
45,7.400,134.282,7.783,101.709,119.656,138.373,166.702,487.398,491.527,491.527,0.007
50,6.400,153.614,12.338,107.195,125.613,169.061,197.966,498.315,575.817,575.817,0.007
55,6.200,172.909,7.854,112.541,130.558,181.046,226.537,577.252,581.721,581.721,0.006
60,5.600,166.078,7.490,132.548,167.546,185.299,216.983,239.390,575.700,575.700,0.006
65,7.000,144.725,10.620,131.152,156.555,168.122,193.096,197.849,209.536,209.536,0.007
70,6.600,152.094,8.312,130.679,154.391,190.430,217.299,227.589,235.610,235.610,0.007
75,5.600,179.556,21.161,149.587,158.233,203.950,234.555,245.471,582.008,582.008,0.006
80,7.400,133.356,8.467,109.384,127.454,164.825,186.855,192.992,217.798,217.798,0.007
85,7.000,140.791,28.599,106.750,124.615,158.394,187.863,198.840,491.343,491.343,0.007
90,7.800,129.358,7.706,105.873,136.728,161.957,192.972,216.672,229.068,229.068,0.008
95,7.400,134.599,7.863,106.595,114.654,173.637,192.635,210.263,492.512,492.512,0.007
100,6.400,156.037,9.823,142.426,151.837,180.700,222.742,245.815,507.638,507.638,0.006
105,5.200,191.840,10.594,142.862,167.525,204.373,240.727,575.754,580.967,580.967,0.005
110,6.200,166.390,6.974,125.134,163.524,198.460,215.979,234.603,584.406,584.406,0.006
115,6.000,164.805,7.751,143.358,167.481,186.374,209.020,219.058,229.526,229.526,0.006
120,5.200,190.636,7.370,137.305,167.247,214.327,246.866,575.672,599.264,599.264,0.005
125,5.400,186.070,7.904,142.214,162.464,174.140,243.883,570.041,581.347,581.347,0.005
130,6.800,144.752,7.538,116.998,143.310,167.500,211.987,233.021,240.399,240.399,0.007
135,5.200,192.259,52.625,119.759,143.612,199.643,494.780,550.161,623.447,623.447,0.005
140,6.400,159.002,8.058,142.656,168.661,185.023,214.574,234.558,247.533,247.533,0.006
145,7.000,140.228,10.054,131.896,162.194,178.634,222.861,245.429,249.914,249.914,0.007
150,7.000,144.215,9.772,118.470,133.402,156.812,196.455,216.114,492.094,492.094,0.007
155,6.800,146.847,7.498,107.914,127.714,167.619,218.379,497.484,520.446,520.446,0.007
160,6.800,157.574,25.229,119.525,134.617,184.186,200.063,476.747,490.368,490.368,0.006
165,7.600,122.292,6.780,108.701,119.588,140.034,185.883,198.172,210.949,210.949,0.008
170,6.200,159.216,9.581,106.795,138.591,197.084,204.952,473.598,493.116,493.116,0.006
175,7.400,137.408,24.911,106.797,126.002,131.800,192.869,206.283,515.572,515.572,0.007
180,5.600,178.991,26.331,107.616,159.871,221.655,398.512,469.654,506.286,506.286,0.006
185,8.600,113.929,7.738,95.760,113.685,149.723,196.324,211.298,217.300,217.300,0.009
190,6.800,147.201,37.100,113.962,132.406,198.311,215.761,223.129,229.798,229.798,0.007
195,6.400,158.672,9.624,119.656,151.303,199.711,226.496,229.554,496.634,496.634,0.006
200,5.800,170.691,10.103,142.502,162.785,172.195,257.992,258.246,570.897,570.897,0.006
205,6.200,164.668,10.605,141.238,154.866,179.514,218.847,241.412,581.356,581.356,0.006
210,5.200,190.600,34.816,149.214,179.771,208.437,247.318,252.812,594.198,594.198,0.005
215,5.600,177.641,9.978,146.017,167.796,201.976,229.546,229.904,556.682,556.682,0.006
220,5.400,197.778,34.738,139.186,168.901,205.025,238.811,587.769,592.574,592.574,0.005
225,5.800,158.039,9.766,141.885,160.135,179.485,222.569,234.586,573.912,573.912,0.006
230,6.200,166.428,7.887,147.336,167.511,193.615,225.730,247.543,295.926,295.926,0.006
235,5.600,175.867,7.567,141.709,167.670,191.972,211.994,245.794,600.495,600.495,0.006
240,7.000,144.367,7.650,125.622,131.906,168.034,205.930,217.561,217.888,217.888,0.007
245,5.400,186.763,36.767,137.111,166.529,210.997,241.388,509.245,519.979,519.979,0.005
250,6.000,165.240,56.563,110.777,133.109,171.409,221.494,562.869,577.690,577.690,0.006
255,6.600,153.027,10.187,115.588,146.739,191.092,226.029,241.613,515.854,515.854,0.007
260,5.400,198.881,31.836,119.012,143.687,200.426,502.556,561.254,574.008,574.008,0.005
265,5.200,173.447,105.617,150.442,171.682,200.190,216.233,221.573,231.697,231.697,0.006
270,6.800,148.817,10.503,111.525,150.312,193.745,224.333,242.070,243.134,243.134,0.007
275,6.200,159.359,36.355,124.105,149.654,185.554,211.548,235.213,503.378,503.378,0.006
280,6.200,161.053,10.412,130.150,166.224,217.545,227.857,236.182,254.604,254.604,0.006
285,6.400,159.785,37.881,115.702,139.957,184.193,221.647,223.996,506.841,506.841,0.006
290,6.400,154.473,10.781,101.372,119.654,154.428,232.515,501.604,503.469,503.469,0.006
295,7.200,137.991,9.878,111.645,135.494,170.233,207.696,235.673,235.740,235.740,0.007
300,5.800,172.293,7.619,119.721,155.553,193.219,250.678,493.927,575.328,575.328,0.006
305,8.400,118.913,7.535,99.648,118.169,163.520,193.242,212.933,217.459,217.459,0.008
310,8.400,119.279,7.555,100.251,118.828,160.179,187.777,196.119,231.180,231.180,0.008
315,5.800,172.031,94.685,114.502,130.469,165.391,492.704,493.570,521.178,521.178,0.006
320,5.400,192.471,34.597,148.317,175.057,203.898,246.849,270.040,581.882,581.882,0.005
325,5.200,201.146,9.682,147.695,173.537,235.450,251.748,581.646,649.521,649.521,0.005
330,4.000,224.821,10.060,147.828,198.676,334.986,405.970,618.861,618.861,618.861,0.004
335,5.800,177.813,8.483,147.971,173.516,198.293,239.553,245.022,576.829,576.829,0.006
340,6.600,149.381,7.401,118.219,137.173,195.125,206.068,234.065,494.252,494.252,0.007
345,6.000,167.437,11.442,135.685,163.387,204.704,216.631,242.388,503.726,503.726,0.006
350,7.000,140.313,7.643,105.824,143.707,182.708,214.530,227.409,234.297,234.297,0.007
355,7.200,147.076,8.360,105.430,131.629,175.899,196.983,228.948,586.399,586.399,0.007
360,5.400,178.833,39.531,141.821,163.185,179.666,248.000,254.458,618.625,618.625,0.006
365,6.000,166.078,37.313,142.408,167.565,187.521,247.959,265.633,272.161,272.161,0.006
370,5.400,186.631,37.718,142.119,167.049,224.955,234.803,247.425,617.579,617.579,0.005
375,5.000,197.950,130.925,155.230,179.866,213.909,240.855,241.731,568.063,568.063,0.005
380,5.800,172.800,7.322,136.269,157.877,206.722,251.596,260.109,575.107,575.107,0.006
385,5.600,179.968,141.243,161.660,168.399,205.569,229.697,233.409,254.442,254.442,0.006
390,5.400,181.264,7.723,141.074,166.678,234.954,254.491,257.563,630.490,630.490,0.006
395,6.200,160.109,9.387,142.232,165.711,195.793,235.278,241.613,279.129,279.129,0.006
400,4.200,240.707,137.429,160.067,196.809,217.583,576.615,598.293,616.725,616.725,0.004
405,4.600,217.176,34.413,143.286,168.310,222.591,574.639,602.291,624.031,624.031,0.005
410,6.200,171.846,10.465,113.517,149.300,197.916,248.361,502.334,509.484,509.484,0.006
415,6.200,151.201,7.397,116.820,134.214,187.709,199.635,248.067,509.639,509.639,0.007
420,8.000,123.075,9.885,100.925,125.032,160.243,208.102,217.546,232.611,232.611,0.008
425,6.800,148.354,7.761,113.486,139.683,178.847,211.715,242.168,520.953,520.953,0.007
430,5.800,172.995,39.423,119.166,151.424,187.912,227.613,502.328,564.010,564.010,0.006
435,7.000,144.554,7.654,118.542,138.732,184.214,200.087,217.971,228.824,228.824,0.007
440,6.000,166.359,10.029,101.254,164.450,200.224,242.038,507.597,549.015,549.015,0.006
445,5.800,172.364,36.288,115.568,125.632,224.163,248.074,506.233,510.770,510.770,0.006
450,6.200,158.864,100.270,125.749,133.031,174.379,195.617,241.929,512.844,512.844,0.006
455,7.800,128.441,9.454,102.488,114.550,153.426,203.876,235.213,518.228,518.228,0.008
460,6.200,159.487,86.080,110.886,142.988,197.072,211.297,225.714,501.288,501.288,0.006
465,7.400,141.984,8.295,107.483,125.594,174.403,216.202,254.228,519.049,519.049,0.007
470,6.000,164.849,38.686,91.928,129.841,204.961,319.598,454.097,556.216,556.216,0.006
475,4.600,208.782,105.825,119.687,156.254,210.895,539.205,548.515,582.854,582.854,0.005
480,5.800,172.232,8.013,142.335,179.622,215.235,240.862,254.475,272.000,272.000,0.006
485,6.000,171.699,7.555,151.668,167.593,179.468,236.390,246.290,618.321,618.321,0.006
490,6.000,161.554,9.995,147.795,167.547,195.657,233.892,235.913,243.291,243.291,0.006
495,5.200,192.384,7.871,143.587,180.489,226.103,242.664,259.910,630.295,630.295,0.005
500,7.000,143.184,7.462,111.009,133.698,152.755,201.992,241.852,506.071,506.071,0.007
505,5.600,182.425,8.122,111.051,166.436,209.368,503.358,517.926,561.289,561.289,0.005
510,5.400,182.780,89.834,116.524,163.547,197.799,248.605,520.466,580.665,580.665,0.005
515,6.000,177.064,101.327,119.647,143.815,209.886,245.674,252.524,636.418,636.418,0.006
520,6.000,155.829,7.841,142.096,165.085,194.366,226.019,258.577,271.630,271.630,0.006
525,5.600,180.401,10.090,154.304,177.509,190.980,237.750,239.823,577.088,577.088,0.006
530,5.600,178.318,39.173,147.113,166.545,205.106,224.335,263.500,627.641,627.641,0.006
535,5.200,193.465,10.192,140.617,188.518,218.516,246.716,503.031,504.781,504.781,0.005
540,5.800,169.471,8.013,106.001,138.995,193.349,506.737,508.153,509.574,509.574,0.006
545,6.800,148.254,42.431,118.007,130.914,173.509,196.436,232.179,509.434,509.434,0.007
550,6.400,156.615,36.167,107.551,128.316,203.818,219.346,512.654,515.293,515.293,0.006
555,6.400,163.209,10.872,112.408,139.968,170.978,245.917,495.408,532.101,532.101,0.006
560,6.400,147.917,38.174,107.812,129.125,173.211,200.392,227.622,521.301,521.301,0.007
565,6.600,152.486,92.824,110.805,142.836,191.083,236.410,237.047,247.830,247.830,0.007
