Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.200,14.885,14.885,14.885,14.885,14.885,14.885,14.885,14.885,14.885,0.067
10,0.600,16.630,12.050,12.050,13.900,23.940,23.940,23.940,23.940,23.940,0.060
15,0.400,12.507,10.267,10.267,14.747,14.747,14.747,14.747,14.747,14.747,0.080
20,0.200,15.826,15.826,15.826,15.826,15.826,15.826,15.826,15.826,15.826,0.063
25,0.200,15.657,15.657,15.657,15.657,15.657,15.657,15.657,15.657,15.657,0.064
30,0.600,14.337,13.711,13.711,14.347,14.952,14.952,14.952,14.952,14.952,0.070
35,0.200,14.088,14.088,14.088,14.088,14.088,14.088,14.088,14.088,14.088,0.071
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.400,11.736,9.905,9.905,13.566,13.566,13.566,13.566,13.566,13.566,0.085
50,0.200,14.574,14.574,14.574,14.574,14.574,14.574,14.574,14.574,14.574,0.069
55,0.400,11.907,9.803,9.803,14.011,14.011,14.011,14.011,14.011,14.011,0.084
60,0.400,13.874,13.204,13.204,14.543,14.543,14.543,14.543,14.543,14.543,0.072
65,0.200,14.323,14.323,14.323,14.323,14.323,14.323,14.323,14.323,14.323,0.070
70,0.800,10.215,8.439,9.394,10.004,13.021,13.021,13.021,13.021,13.021,0.098
75,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
85,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.200,13.732,13.732,13.732,13.732,13.732,13.732,13.732,13.732,13.732,0.073
95,0.200,13.560,13.560,13.560,13.560,13.560,13.560,13.560,13.560,13.560,0.074
100,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
105,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.400,11.015,7.830,7.830,14.199,14.199,14.199,14.199,14.199,14.199,0.091
115,0.200,13.390,13.390,13.390,13.390,13.390,13.390,13.390,13.390,13.390,0.075
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
125,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.200,13.433,13.433,13.433,13.433,13.433,13.433,13.433,13.433,13.433,0.074
135,0.200,13.911,13.911,13.911,13.911,13.911,13.911,13.911,13.911,13.911,0.072
140,0.600,13.318,9.839,9.839,13.382,16.732,16.732,16.732,16.732,16.732,0.075
145,0.200,13.096,13.096,13.096,13.096,13.096,13.096,13.096,13.096,13.096,0.076
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
155,0.200,14.095,14.095,14.095,14.095,14.095,14.095,14.095,14.095,14.095,0.071
160,0.600,11.610,8.849,8.849,12.320,13.661,13.661,13.661,13.661,13.661,0.086
165,0.200,11.919,11.919,11.919,11.919,11.919,11.919,11.919,11.919,11.919,0.084
170,0.400,13.851,13.763,13.763,13.938,13.938,13.938,13.938,13.938,13.938,0.072
175,0.200,9.889,9.889,9.889,9.889,9.889,9.889,9.889,9.889,9.889,0.101
180,0.200,12.936,12.936,12.936,12.936,12.936,12.936,12.936,12.936,12.936,0.077
185,0.400,11.341,9.072,9.072,13.609,13.609,13.609,13.609,13.609,13.609,0.088
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
