Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,5,5.000,118828,174239,233773,223382,284326,305747,305747,305747,305747
1,3,3.000,125795,125795,218822,327277,637215,637215,637215,637215,637215
2,6,6.000,107300,124537,200899,172325,201931,233038,233038,233038,233038
3,5,5.000,112684,131535,137267,178036,218617,290077,290077,290077,290077
4,7,7.000,49249,65008,125723,141406,137175,351023,351023,351023,351023
5,6,6.000,14885,145949,191611,171831,235264,267115,267115,267115,267115
6,5,5.000,110125,202324,233944,223040,265027,303782,303782,303782,303782
7,5,5.000,109145,115140,131670,169073,199833,289579,289579,289579,289579
8,4,4.000,143811,149563,237155,282977,601382,601382,601382,601382,601382
9,3,3.000,119430,119430,236643,316396,593116,593116,593116,593116,593116
10,6,6.000,23940,104226,176101,161674,248804,299890,299890,299890,299890
11,7,7.000,13900,114401,121974,140494,203972,287471,287471,287471,287471
12,6,6.000,48695,105538,233267,172690,254082,262122,262122,262122,262122
13,5,5.000,117304,150003,239871,219155,289355,299245,299245,299245,299245
14,6,6.000,12050,106558,161936,139176,180246,265385,265385,265385,265385
15,8,8.000,10267,107342,114561,125774,204556,279264,279264,279264,279264
16,6,6.000,128694,129753,185797,181785,203600,275047,275047,275047,275047
17,5,5.000,106832,230658,248793,223953,255155,278331,278331,278331,278331
18,6,6.000,14747,104666,142232,136083,159794,284245,284245,284245,284245
19,6,6.000,111609,118326,176602,176145,261821,268797,268797,268797,268797
20,7,7.000,112142,117168,143001,155226,207532,218977,218977,218977,218977
21,4,4.000,15826,101081,131632,215429,613177,613177,613177,613177,613177
22,7,7.000,109985,114972,125901,171839,275263,308863,308863,308863,308863
23,3,3.000,107721,107721,150501,284649,595725,595725,595725,595725,595725
24,2,2.000,135446,135446,793787,464616,793787,793787,793787,793787,793787
25,7,7.000,15657,145410,151995,158339,171074,315889,315889,315889,315889
26,6,6.000,50222,145571,160617,148573,161659,215464,215464,215464,215464
27,5,5.000,145149,152731,165519,195670,222840,292114,292114,292114,292114
28,5,5.000,136381,143228,167460,219729,321948,329632,329632,329632,329632
29,4,4.000,154325,202636,245385,221766,284720,284720,284720,284720,284720
30,6,6.000,161586,167628,179434,185264,197310,232076,232076,232076,232076
