Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.200,647.810,647.810,647.810,647.810,647.810,647.810,647.810,647.810,647.810,0.002
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.200,535.359,535.359,535.359,535.359,535.359,535.359,535.359,535.359,535.359,0.002
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.200,1300.451,1300.451,1300.451,1300.451,1300.451,1300.451,1300.451,1300.451,1300.451,0.001
50,0.200,1349.977,1349.977,1349.977,1349.977,1349.977,1349.977,1349.977,1349.977,1349.977,0.001
55,0.200,996.804,996.804,996.804,996.804,996.804,996.804,996.804,996.804,996.804,0.001
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
65,0.200,1369.775,1369.775,1369.775,1369.775,1369.775,1369.775,1369.775,1369.775,1369.775,0.001
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
75,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.200,1321.800,1321.800,1321.800,1321.800,1321.800,1321.800,1321.800,1321.800,1321.800,0.001
85,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
95,0.200,1373.771,1373.771,1373.771,1373.771,1373.771,1373.771,1373.771,1373.771,1373.771,0.001
100,0.200,1315.762,1315.762,1315.762,1315.762,1315.762,1315.762,1315.762,1315.762,1315.762,0.001
105,0.400,1320.748,1319.191,1319.191,1322.305,1322.305,1322.305,1322.305,1322.305,1322.305,0.001
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
115,0.400,1320.766,1316.955,1316.955,1324.577,1324.577,1324.577,1324.577,1324.577,1324.577,0.001
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
125,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
135,0.200,1325.994,1325.994,1325.994,1325.994,1325.994,1325.994,1325.994,1325.994,1325.994,0.001
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
145,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
155,0.200,1333.819,1333.819,1333.819,1333.819,1333.819,1333.819,1333.819,1333.819,1333.819,0.001
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
165,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
175,0.200,1329.851,1329.851,1329.851,1329.851,1329.851,1329.851,1329.851,1329.851,1329.851,0.001
180,0.200,1302.673,1302.673,1302.673,1302.673,1302.673,1302.673,1302.673,1302.673,1302.673,0.001
