Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,337.000,143.714,145.598,166.291,444.295,975.179,975.179,975.179,975.179,0.003
5,1.600,300.761,142.399,143.571,152.162,666.399,853.774,853.774,853.774,853.774,0.003
10,1.400,374.236,148.603,166.260,167.517,576.468,901.995,901.995,901.995,901.995,0.003
15,1.400,671.048,157.473,195.789,905.463,985.329,1002.681,1002.681,1002.681,1002.681,0.001
20,1.200,506.416,141.732,160.643,705.550,760.689,784.646,784.646,784.646,784.646,0.002
25,1.000,850.430,593.278,756.150,903.200,992.423,1007.101,1007.101,1007.101,1007.101,0.001
30,1.200,793.372,437.814,556.372,978.815,992.773,1038.696,1038.696,1038.696,1038.696,0.001
35,1.000,608.359,162.068,167.265,782.197,941.730,988.535,988.535,988.535,988.535,0.002
40,0.800,1079.286,664.452,856.795,1360.025,1435.871,1435.871,1435.871,1435.871,1435.871,0.001
45,0.800,948.529,545.653,847.782,876.970,1523.711,1523.711,1523.711,1523.711,1523.711,0.001
50,0.800,749.856,487.609,597.125,928.229,986.459,986.459,986.459,986.459,986.459,0.001
55,1.000,585.228,157.458,648.613,651.761,725.793,742.517,742.517,742.517,742.517,0.002
60,1.200,783.729,474.215,697.904,760.921,915.785,1147.562,1147.562,1147.562,1147.562,0.001
65,0.800,696.315,548.857,597.119,684.316,954.966,954.966,954.966,954.966,954.966,0.001
70,1.200,803.598,523.454,743.501,785.061,987.390,1004.778,1004.778,1004.778,1004.778,0.001
75,1.000,734.912,533.510,535.665,679.188,949.474,976.724,976.724,976.724,976.724,0.001
80,1.000,630.005,446.538,452.947,489.857,854.914,905.770,905.770,905.770,905.770,0.002
85,0.800,837.881,702.722,870.975,883.624,894.201,894.201,894.201,894.201,894.201,0.001
90,1.200,752.877,440.435,566.835,870.193,974.842,1008.276,1008.276,1008.276,1008.276,0.001
95,0.800,848.768,625.978,672.494,1043.050,1053.551,1053.551,1053.551,1053.551,1053.551,0.001
100,0.600,760.032,498.118,498.118,876.618,905.360,905.360,905.360,905.360,905.360,0.001
105,0.400,578.465,498.627,498.627,658.302,658.302,658.302,658.302,658.302,658.302,0.002
110,1.200,801.679,527.548,645.431,872.780,934.424,989.087,989.087,989.087,989.087,0.001
115,0.400,870.656,820.787,820.787,920.524,920.524,920.524,920.524,920.524,920.524,0.001
120,1.200,633.373,445.306,487.254,665.155,824.478,873.666,873.666,873.666,873.666,0.002
125,1.000,732.617,436.281,451.706,801.276,853.161,1120.660,1120.660,1120.660,1120.660,0.001
130,1.200,715.697,503.661,505.991,835.300,940.258,995.370,995.370,995.370,995.370,0.001
135,0.800,759.209,508.718,543.964,988.042,996.112,996.112,996.112,996.112,996.112,0.001
140,1.200,814.803,523.437,729.689,928.439,965.540,984.772,984.772,984.772,984.772,0.001
145,1.000,958.577,829.714,933.913,982.423,1014.627,1032.206,1032.206,1032.206,1032.206,0.001
150,1.000,846.557,557.620,835.480,856.694,985.606,997.383,997.383,997.383,997.383,0.001
155,1.000,720.254,548.632,550.348,766.327,798.900,937.062,937.062,937.062,937.062,0.001
160,1.400,656.724,438.505,556.060,640.973,764.188,872.838,872.838,872.838,872.838,0.002
165,0.800,762.236,555.982,723.580,880.363,889.020,889.020,889.020,889.020,889.020,0.001
170,1.200,830.448,469.344,707.703,931.353,955.589,998.745,998.745,998.745,998.745,0.001
175,1.200,716.127,440.393,602.907,756.194,856.404,885.978,885.978,885.978,885.978,0.001
180,0.600,884.051,805.877,805.877,828.832,1017.443,1017.443,1017.443,1017.443,1017.443,0.001
185,0.600,901.280,760.994,760.994,947.850,994.995,994.995,994.995,994.995,994.995,0.001
190,1.000,746.274,453.285,696.419,835.775,851.369,894.521,894.521,894.521,894.521,0.001
195,1.200,777.615,585.784,632.654,677.732,988.746,1108.797,1108.797,1108.797,1108.797,0.001
200,1.000,680.365,542.948,601.263,643.119,751.060,863.435,863.435,863.435,863.435,0.001
205,1.200,676.032,432.090,539.614,772.153,854.047,864.904,864.904,864.904,864.904,0.001
210,0.400,942.871,870.653,870.653,1015.089,1015.089,1015.089,1015.089,1015.089,1015.089,0.001
215,1.000,742.386,493.352,552.693,848.782,881.183,935.921,935.921,935.921,935.921,0.001
220,1.200,769.854,546.418,704.526,755.141,913.652,979.025,979.025,979.025,979.025,0.001
225,1.400,706.705,534.579,607.828,626.849,867.768,1056.542,1056.542,1056.542,1056.542,0.001
230,0.800,755.304,559.223,754.230,821.980,885.782,885.782,885.782,885.782,885.782,0.001
235,1.000,815.148,547.539,599.866,930.294,975.388,1022.654,1022.654,1022.654,1022.654,0.001
240,1.000,554.404,449.124,449.210,491.482,679.136,703.066,703.066,703.066,703.066,0.002
245,1.000,695.518,484.885,489.997,511.589,642.611,1348.508,1348.508,1348.508,1348.508,0.001
250,1.000,583.118,452.147,491.076,582.740,689.135,700.491,700.491,700.491,700.491,0.002
255,1.200,766.014,490.778,630.229,852.480,854.885,981.017,981.017,981.017,981.017,0.001
260,1.200,700.906,498.258,545.808,715.305,810.724,962.429,962.429,962.429,962.429,0.001
265,1.000,645.492,439.583,543.488,548.663,719.397,976.328,976.328,976.328,976.328,0.002
270,0.600,728.057,547.677,547.677,659.754,976.739,976.739,976.739,976.739,976.739,0.001
275,0.600,982.669,703.769,703.769,926.670,1317.567,1317.567,1317.567,1317.567,1317.567,0.001
280,0.800,818.438,583.379,868.555,882.239,939.577,939.577,939.577,939.577,939.577,0.001
285,0.800,766.075,553.904,677.838,895.203,937.354,937.354,937.354,937.354,937.354,0.001
290,0.400,779.039,702.539,702.539,855.539,855.539,855.539,855.539,855.539,855.539,0.001
295,1.000,682.973,541.659,546.033,600.974,702.641,1023.560,1023.560,1023.560,1023.560,0.001
300,0.800,729.737,511.970,747.741,760.062,899.174,899.174,899.174,899.174,899.174,0.001
305,0.800,758.001,514.527,795.691,839.278,882.507,882.507,882.507,882.507,882.507,0.001
310,1.200,779.056,565.121,726.369,836.654,850.079,886.105,886.105,886.105,886.105,0.001
315,1.000,855.595,465.147,501.531,922.678,965.415,1423.204,1423.204,1423.204,1423.204,0.001
320,1.400,646.482,448.622,484.591,668.021,749.748,811.447,811.447,811.447,811.447,0.002
325,1.000,772.959,432.934,746.747,773.786,918.328,993.001,993.001,993.001,993.001,0.001
