Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3,3.000,166291,166291,444295,365823,486884,486884,486884,486884,486884
1,6,6.000,143714,145598,175321,172625,204708,206678,206678,206678,206678
2,1,1.000,975179,975179,975179,975179,975179,975179,975179,975179,975179
3,6,6.000,144128,149010,163107,159602,166084,175904,175904,175904,175904
4,3,3.000,149714,149714,273718,418242,831296,831296,831296,831296,831296
5,1,1.000,853774,853774,853774,853774,853774,853774,853774,853774,853774
6,6,6.000,142399,144668,156614,154838,159285,178999,178999,178999,178999
7,6,6.000,98386,142640,148502,149284,152162,208334,208334,208334,208334
8,3,3.000,148889,148889,187673,334320,666399,666399,666399,666399,666399
9,7,7.000,143571,147792,148530,152641,162417,162561,162561,162561,162561
10,3,3.000,166260,166260,170336,328135,647810,647810,647810,647810,647810
11,4,4.000,149218,150344,186554,244590,492244,492244,492244,492244,492244
12,4,4.000,148603,154493,166564,261532,576468,576468,576468,576468,576468
13,2,2.000,823552,823552,901995,862773,901995,901995,901995,901995,901995
14,2,2.000,167517,167517,186062,176789,186062,186062,186062,186062,186062
15,1,1.000,905463,905463,905463,905463,905463,905463,905463,905463,905463
16,1,1.000,985329,985329,985329,985329,985329,985329,985329,985329,985329
17,7,7.000,69464,146974,147753,144920,157473,195789,195789,195789,195789
18,3,3.000,147101,147101,500289,532568,950315,950315,950315,950315,950315
19,1,1.000,1002681,1002681,1002681,1002681,1002681,1002681,1002681,1002681,1002681
20,1,1.000,760689,760689,760689,760689,760689,760689,760689,760689,760689
21,3,3.000,148236,148236,160643,264705,485236,485236,485236,485236,485236
22,4,4.000,141732,145189,184353,294206,705550,705550,705550,705550,705550
23,2,2.000,157618,157618,784646,471132,784646,784646,784646,784646,784646
24,2,2.000,155389,155389,535359,345374,535359,535359,535359,535359,535359
25,2,2.000,155952,155952,992423,574187,992423,992423,992423,992423,992423
26,2,2.000,143779,143779,756150,449964,756150,756150,756150,756150,756150
27,2,2.000,158496,158496,903200,530848,903200,903200,903200,903200,903200
28,1,1.000,1007101,1007101,1007101,1007101,1007101,1007101,1007101,1007101,1007101
