Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1714114468.186914,318593,0,1
3,OrderStatus,1714114468.505669,239571,0,1
4,Delivery,1714114468.745276,1646590,0,1
1,NewOrder,1714114470.391902,896218,0,1
1,NewOrder,1714114471.288155,578912,0,1
1,NewOrder,1714114471.867097,966910,0,1
1,NewOrder,1714114472.834041,147618,0,1
1,NewOrder,1714114472.981689,1029576,0,1
1,NewOrder,1714114474.011294,917185,0,1
1,NewOrder,1714114474.928508,147980,0,1
2,Payment,1714114475.076519,401215,0,1
1,NewOrder,1714114475.477768,789107,0,1
1,NewOrder,1714114476.266910,793351,0,1
1,NewOrder,1714114477.060298,148650,0,1
2,Payment,1714114477.208977,167707,0,1
2,Payment,1714114477.376718,166768,0,1
1,NewOrder,1714114477.543521,147783,0,1
4,Delivery,1714114477.691333,1355835,0,1
1,NewOrder,1714114479.047211,838496,0,1
1,NewOrder,1714114479.885738,950729,0,1
4,Delivery,1714114480.836502,1401717,0,1
4,Delivery,1714114482.238257,1358872,0,1
5,StockLevel,1714114483.597174,123859,0,1
1,NewOrder,1714114483.721068,610769,0,1
2,Payment,1714114484.331870,170900,0,1
2,Payment,1714114484.502801,161547,0,1
2,Payment,1714114484.664380,160254,0,1
1,NewOrder,1714114484.824666,726430,0,1
2,Payment,1714114485.551127,161721,0,1
2,Payment,1714114485.712885,210073,0,1
5,StockLevel,1714114485.922989,72170,0,1
2,Payment,1714114485.995191,218694,0,1
2,Payment,1714114486.213922,188755,0,1
1,NewOrder,1714114486.402709,190669,0,1
1,NewOrder,1714114486.593405,705377,0,1
1,NewOrder,1714114487.298814,793169,0,1
2,Payment,1714114488.092015,517882,0,1
4,Delivery,1714114488.609929,1467081,0,1
2,Payment,1714114490.077042,193447,0,1
1,NewOrder,1714114490.270520,734098,0,1
5,StockLevel,1714114491.004650,73214,0,1
1,NewOrder,1714114491.077896,662312,0,1
2,Payment,1714114491.740240,469231,0,1
2,Payment,1714114492.209524,547053,0,1
2,Payment,1714114492.756613,242447,0,1
1,NewOrder,1714114492.999092,935175,0,1
2,Payment,1714114493.934299,161184,0,1
2,Payment,1714114494.095515,160829,0,1
2,Payment,1714114494.256376,163385,0,1
1,NewOrder,1714114494.419792,145525,0,1
2,Payment,1714114494.565345,161911,0,1
1,NewOrder,1714114494.727288,911825,0,1
2,Payment,1714114495.639145,162982,0,1
2,Payment,1714114495.802160,160173,0,1
1,NewOrder,1714114495.962442,146905,0,1
3,OrderStatus,1714114496.109381,97738,0,1
