Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.200,656.305,147.618,318.593,896.218,966.910,1029.576,1029.576,1029.576,1029.576,0.002
5,1.200,490.676,147.783,147.980,789.107,793.351,917.185,917.185,917.185,917.185,0.002
10,0.400,894.613,838.496,838.496,950.729,950.729,950.729,950.729,950.729,950.729,0.001
15,1.000,605.283,190.669,610.769,705.377,726.430,793.169,793.169,793.169,793.169,0.002
20,0.600,777.195,662.312,662.312,734.098,935.175,935.175,935.175,935.175,935.175,0.001
25,1.000,585.654,145.525,146.905,832.776,891.241,911.825,911.825,911.825,911.825,0.002
30,1.600,478.704,148.305,160.692,511.154,900.815,1000.880,1000.880,1000.880,1000.880,0.002
35,0.800,784.222,489.250,663.264,986.758,997.614,997.614,997.614,997.614,997.614,0.001
40,1.000,640.425,149.530,510.112,594.032,945.491,1002.958,1002.958,1002.958,1002.958,0.002
45,0.600,873.886,660.151,660.151,876.688,1084.819,1084.819,1084.819,1084.819,1084.819,0.001
50,1.000,836.380,492.006,672.883,888.787,1038.743,1089.483,1089.483,1089.483,1089.483,0.001
55,1.400,726.006,572.303,573.777,688.098,839.936,1022.665,1022.665,1022.665,1022.665,0.001
60,1.000,539.720,147.537,445.528,448.498,777.407,879.632,879.632,879.632,879.632,0.002
65,1.400,707.200,164.516,457.788,817.897,981.792,1037.082,1037.082,1037.082,1037.082,0.001
70,0.600,688.613,497.539,497.539,564.450,1003.849,1003.849,1003.849,1003.849,1003.849,0.001
75,0.800,827.655,559.900,862.650,868.954,1019.116,1019.116,1019.116,1019.116,1019.116,0.001
80,1.200,609.990,436.518,439.124,653.075,705.956,934.849,934.849,934.849,934.849,0.002
85,1.000,568.441,442.522,452.401,548.503,627.035,771.746,771.746,771.746,771.746,0.002
90,1.000,844.532,556.830,821.594,823.711,983.696,1036.827,1036.827,1036.827,1036.827,0.001
95,1.000,844.535,660.633,792.221,802.207,972.806,994.806,994.806,994.806,994.806,0.001
100,0.800,734.949,710.861,712.604,717.420,798.912,798.912,798.912,798.912,798.912,0.001
105,0.800,792.970,581.045,717.906,906.765,966.164,966.164,966.164,966.164,966.164,0.001
110,1.400,656.003,154.521,487.763,644.878,902.019,1010.149,1010.149,1010.149,1010.149,0.002
115,0.600,865.625,755.107,755.107,920.084,921.685,921.685,921.685,921.685,921.685,0.001
120,1.000,642.610,493.594,495.427,603.658,705.583,914.787,914.787,914.787,914.787,0.002
125,1.000,743.269,435.312,765.300,799.530,834.224,881.981,881.981,881.981,881.981,0.001
130,1.200,711.349,476.780,551.072,811.434,844.033,981.799,981.799,981.799,981.799,0.001
135,1.000,573.536,473.621,499.904,543.569,629.611,720.976,720.976,720.976,720.976,0.002
140,0.600,845.928,710.240,710.240,912.149,915.395,915.395,915.395,915.395,915.395,0.001
145,1.200,726.669,595.775,602.975,718.283,893.931,922.391,922.391,922.391,922.391,0.001
150,1.200,765.925,526.774,562.967,843.913,850.689,1041.896,1041.896,1041.896,1041.896,0.001
155,1.000,754.264,142.465,684.167,889.742,986.950,1067.997,1067.997,1067.997,1067.997,0.001
160,0.600,909.992,773.632,773.632,930.921,1025.422,1025.422,1025.422,1025.422,1025.422,0.001
165,1.200,811.339,483.262,761.401,881.746,931.449,975.120,975.120,975.120,975.120,0.001
170,1.000,854.855,621.348,760.684,898.065,983.617,1010.562,1010.562,1010.562,1010.562,0.001
175,0.800,661.208,464.701,498.153,670.652,1011.325,1011.325,1011.325,1011.325,1011.325,0.002
180,0.600,850.966,761.628,761.628,872.771,918.499,918.499,918.499,918.499,918.499,0.001
185,1.000,693.301,453.394,518.764,723.062,779.489,991.796,991.796,991.796,991.796,0.001
190,0.600,828.542,798.073,798.073,815.048,872.504,872.504,872.504,872.504,872.504,0.001
195,1.000,593.984,441.371,494.792,600.090,670.770,762.899,762.899,762.899,762.899,0.002
200,1.200,734.596,494.871,601.095,835.549,842.080,847.310,847.310,847.310,847.310,0.001
205,0.800,795.868,592.152,811.847,848.867,930.607,930.607,930.607,930.607,930.607,0.001
210,0.800,772.428,667.881,674.787,866.358,880.684,880.684,880.684,880.684,880.684,0.001
215,1.000,752.902,442.273,705.860,764.495,887.559,964.321,964.321,964.321,964.321,0.001
220,1.400,611.583,444.624,512.724,549.323,713.608,987.776,987.776,987.776,987.776,0.002
225,1.000,620.850,146.103,658.371,660.891,707.417,931.468,931.468,931.468,931.468,0.002
230,1.200,765.419,495.469,677.381,737.134,918.260,1029.026,1029.026,1029.026,1029.026,0.001
235,1.000,801.776,643.609,686.566,780.055,924.216,974.435,974.435,974.435,974.435,0.001
240,0.800,557.562,463.165,465.005,575.827,726.250,726.250,726.250,726.250,726.250,0.002
245,0.800,904.523,748.698,929.054,949.620,990.721,990.721,990.721,990.721,990.721,0.001
