Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,239.571,239.571,239.571,239.571,239.571,239.571,239.571,239.571,239.571,0.004
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.200,97.738,97.738,97.738,97.738,97.738,97.738,97.738,97.738,97.738,0.010
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.200,88.121,88.121,88.121,88.121,88.121,88.121,88.121,88.121,88.121,0.011
40,0.200,93.870,93.870,93.870,93.870,93.870,93.870,93.870,93.870,93.870,0.011
45,0.200,89.415,89.415,89.415,89.415,89.415,89.415,89.415,89.415,89.415,0.011
50,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.200,88.490,88.490,88.490,88.490,88.490,88.490,88.490,88.490,88.490,0.011
65,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
75,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.200,86.555,86.555,86.555,86.555,86.555,86.555,86.555,86.555,86.555,0.012
85,0.400,88.239,86.934,86.934,89.543,89.543,89.543,89.543,89.543,89.543,0.011
90,0.200,87.406,87.406,87.406,87.406,87.406,87.406,87.406,87.406,87.406,0.011
95,0.200,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,93.020,0.011
100,0.400,88.141,87.471,87.471,88.811,88.811,88.811,88.811,88.811,88.811,0.011
105,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
115,0.200,89.254,89.254,89.254,89.254,89.254,89.254,89.254,89.254,89.254,0.011
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
125,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
135,0.600,87.253,86.167,86.167,87.378,88.214,88.214,88.214,88.214,88.214,0.011
140,0.200,85.801,85.801,85.801,85.801,85.801,85.801,85.801,85.801,85.801,0.012
145,0.200,94.775,94.775,94.775,94.775,94.775,94.775,94.775,94.775,94.775,0.011
150,0.400,85.462,84.298,84.298,86.625,86.625,86.625,86.625,86.625,86.625,0.012
155,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.200,87.884,87.884,87.884,87.884,87.884,87.884,87.884,87.884,87.884,0.011
165,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
175,0.200,87.176,87.176,87.176,87.176,87.176,87.176,87.176,87.176,87.176,0.011
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
185,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
195,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
200,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
205,0.200,84.054,84.054,84.054,84.054,84.054,84.054,84.054,84.054,84.054,0.012
210,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
215,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
220,0.200,86.757,86.757,86.757,86.757,86.757,86.757,86.757,86.757,86.757,0.012
225,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
230,0.400,92.761,91.477,91.477,94.045,94.045,94.045,94.045,94.045,94.045,0.011
235,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
245,0.200,86.404,86.404,86.404,86.404,86.404,86.404,86.404,86.404,86.404,0.012
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
255,0.200,86.071,86.071,86.071,86.071,86.071,86.071,86.071,86.071,86.071,0.012
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
265,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
275,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.200,85.940,85.940,85.940,85.940,85.940,85.940,85.940,85.940,85.940,0.012
285,0.200,86.717,86.717,86.717,86.717,86.717,86.717,86.717,86.717,86.717,0.012
290,0.600,90.528,88.517,88.517,91.379,91.688,91.688,91.688,91.688,91.688,0.011
295,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
305,0.200,94.790,94.790,94.790,94.790,94.790,94.790,94.790,94.790,94.790,0.011
310,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
315,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
325,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
335,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
345,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
350,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
355,0.400,89.815,88.439,88.439,91.190,91.190,91.190,91.190,91.190,91.190,0.011
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
365,0.400,86.052,84.309,84.309,87.795,87.795,87.795,87.795,87.795,87.795,0.012
370,0.400,84.886,84.459,84.459,85.313,85.313,85.313,85.313,85.313,85.313,0.012
375,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
380,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
385,0.200,83.341,83.341,83.341,83.341,83.341,83.341,83.341,83.341,83.341,0.012
390,0.400,85.217,85.193,85.193,85.241,85.241,85.241,85.241,85.241,85.241,0.012
395,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
400,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
405,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.200,87.591,87.591,87.591,87.591,87.591,87.591,87.591,87.591,87.591,0.011
415,0.200,84.722,84.722,84.722,84.722,84.722,84.722,84.722,84.722,84.722,0.012
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
425,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
430,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
435,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
445,0.200,86.455,86.455,86.455,86.455,86.455,86.455,86.455,86.455,86.455,0.012
450,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
455,0.200,85.640,85.640,85.640,85.640,85.640,85.640,85.640,85.640,85.640,0.012
460,0.200,84.438,84.438,84.438,84.438,84.438,84.438,84.438,84.438,84.438,0.012
465,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
470,0.200,84.474,84.474,84.474,84.474,84.474,84.474,84.474,84.474,84.474,0.012
475,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
485,0.200,84.467,84.467,84.467,84.467,84.467,84.467,84.467,84.467,84.467,0.012
490,0.200,87.835,87.835,87.835,87.835,87.835,87.835,87.835,87.835,87.835,0.011
495,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
500,0.400,99.396,88.620,88.620,110.172,110.172,110.172,110.172,110.172,110.172,0.010
505,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.400,83.714,83.065,83.065,84.363,84.363,84.363,84.363,84.363,84.363,0.012
515,0.200,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,85.359,0.012
520,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
525,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
530,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
535,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
540,0.200,87.552,87.552,87.552,87.552,87.552,87.552,87.552,87.552,87.552,0.011
545,0.200,88.438,88.438,88.438,88.438,88.438,88.438,88.438,88.438,88.438,0.011
550,0.200,85.877,85.877,85.877,85.877,85.877,85.877,85.877,85.877,85.877,0.012
555,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
560,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
565,0.200,85.414,85.414,85.414,85.414,85.414,85.414,85.414,85.414,85.414,0.012
570,0.400,86.336,86.202,86.202,86.470,86.470,86.470,86.470,86.470,86.470,0.012
575,0.200,85.448,85.448,85.448,85.448,85.448,85.448,85.448,85.448,85.448,0.012
580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
585,0.200,86.761,86.761,86.761,86.761,86.761,86.761,86.761,86.761,86.761,0.012
590,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
595,0.400,92.494,85.803,85.803,99.185,99.185,99.185,99.185,99.185,99.185,0.011
600,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
605,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
610,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
615,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
625,0.200,86.561,86.561,86.561,86.561,86.561,86.561,86.561,86.561,86.561,0.012
630,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
635,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
640,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
645,0.200,86.304,86.304,86.304,86.304,86.304,86.304,86.304,86.304,86.304,0.012
650,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
655,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
660,0.200,84.067,84.067,84.067,84.067,84.067,84.067,84.067,84.067,84.067,0.012
665,0.200,85.986,85.986,85.986,85.986,85.986,85.986,85.986,85.986,85.986,0.012
670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
