Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,0.600,245.230,166.768,166.768,167.707,401.215,401.215,401.215,401.215,401.215,0.004
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,1.600,223.728,160.254,161.721,188.755,218.694,517.882,517.882,517.882,517.882,0.004
20,0.800,363.045,193.447,242.447,469.231,547.053,547.053,547.053,547.053,547.053,0.003
25,1.600,165.919,160.173,161.184,162.982,166.027,190.860,190.860,190.860,190.860,0.006
30,1.800,170.201,161.223,162.433,165.051,168.349,197.831,197.831,197.831,197.831,0.006
35,0.600,163.881,162.581,162.581,164.183,164.879,164.879,164.879,164.879,164.879,0.006
40,1.000,162.232,159.736,162.063,162.511,163.211,163.638,163.638,163.638,163.638,0.006
45,0.200,166.343,166.343,166.343,166.343,166.343,166.343,166.343,166.343,166.343,0.006
50,0.600,166.619,162.745,162.745,167.478,169.634,169.634,169.634,169.634,169.634,0.006
55,0.400,163.012,162.518,162.518,163.505,163.505,163.505,163.505,163.505,163.505,0.006
60,2.000,165.645,159.077,161.485,162.343,164.834,190.191,190.191,190.191,190.191,0.006
65,0.400,180.432,164.168,164.168,196.696,196.696,196.696,196.696,196.696,196.696,0.006
70,1.200,161.507,159.953,160.175,161.720,162.664,163.027,163.027,163.027,163.027,0.006
75,0.800,161.874,160.503,161.313,161.780,163.901,163.901,163.901,163.901,163.901,0.006
80,0.200,162.174,162.174,162.174,162.174,162.174,162.174,162.174,162.174,162.174,0.006
85,1.600,164.039,159.940,160.274,160.561,162.362,187.787,187.787,187.787,187.787,0.006
90,1.400,165.762,159.381,160.046,160.583,161.414,197.229,197.229,197.229,197.229,0.006
95,0.600,164.990,161.441,161.441,161.740,171.789,171.789,171.789,171.789,171.789,0.006
100,0.600,164.103,160.693,160.693,162.772,168.844,168.844,168.844,168.844,168.844,0.006
105,0.600,174.289,160.063,160.063,168.985,193.818,193.818,193.818,193.818,193.818,0.006
110,0.600,165.568,163.951,163.951,165.678,167.076,167.076,167.076,167.076,167.076,0.006
115,1.800,197.947,158.275,160.629,164.756,184.754,419.005,419.005,419.005,419.005,0.005
120,0.600,168.468,158.344,158.344,159.236,187.825,187.825,187.825,187.825,187.825,0.006
125,0.600,173.763,159.809,159.809,165.700,195.781,195.781,195.781,195.781,195.781,0.006
130,0.400,173.859,158.596,158.596,189.122,189.122,189.122,189.122,189.122,189.122,0.006
135,2.400,161.278,156.824,157.988,159.444,160.295,161.383,188.385,188.385,188.385,0.006
140,2.200,163.120,157.333,157.736,158.794,166.333,176.931,183.535,183.535,183.535,0.006
145,1.000,159.151,157.775,159.089,159.245,159.508,160.138,160.138,160.138,160.138,0.006
150,0.600,326.939,186.289,186.289,314.598,479.929,479.929,479.929,479.929,479.929,0.003
155,0.400,343.205,188.459,188.459,497.951,497.951,497.951,497.951,497.951,497.951,0.003
160,0.800,168.033,159.959,160.014,162.379,189.781,189.781,189.781,189.781,189.781,0.006
165,0.200,193.244,193.244,193.244,193.244,193.244,193.244,193.244,193.244,193.244,0.005
170,0.600,181.779,166.086,166.086,174.492,204.759,204.759,204.759,204.759,204.759,0.006
175,1.200,161.468,158.634,159.398,162.115,163.162,164.629,164.629,164.629,164.629,0.006
180,0.400,162.369,160.590,160.590,164.147,164.147,164.147,164.147,164.147,164.147,0.006
