Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.600,727.999,147.618,318.593,896.218,1029.576,1646.590,1646.590,1646.590,1646.590,0.001
5,2.000,503.558,147.783,148.650,401.215,793.351,1355.835,1355.835,1355.835,1355.835,0.002
10,0.800,1137.454,838.496,950.729,1358.872,1401.717,1401.717,1401.717,1401.717,1401.717,0.001
15,3.000,334.151,72.170,161.547,190.669,610.769,726.430,793.169,793.169,793.169,0.003
20,1.800,591.562,73.214,242.447,547.053,734.098,1467.081,1467.081,1467.081,1467.081,0.002
25,2.800,310.954,97.738,160.173,162.982,190.860,891.241,911.825,911.825,911.825,0.003
30,3.800,290.399,71.361,160.692,162.913,197.831,900.815,1000.880,1000.880,1000.880,0.003
35,1.800,563.611,88.121,164.183,489.250,986.758,1355.850,1355.850,1355.850,1355.850,0.002
40,2.400,454.986,93.870,162.063,163.638,945.491,1002.958,1352.676,1352.676,1352.676,0.002
45,1.200,706.668,89.415,166.343,876.688,1084.819,1362.592,1362.592,1362.592,1362.592,0.001
50,1.800,528.403,73.867,167.478,492.006,888.787,1089.483,1089.483,1089.483,1089.483,0.002
55,2.000,547.921,71.145,163.505,655.070,730.192,1022.665,1022.665,1022.665,1022.665,0.002
60,3.200,277.721,88.490,161.485,162.403,445.528,777.407,879.632,879.632,879.632,0.004
65,1.800,590.141,164.168,196.696,606.826,884.501,1037.082,1037.082,1037.082,1037.082,0.002
70,2.200,429.860,159.953,161.500,163.027,564.450,1003.849,1365.555,1365.555,1365.555,0.002
75,1.800,589.056,160.503,161.780,559.900,868.954,1343.391,1343.391,1343.391,1343.391,0.002
80,1.800,588.242,86.555,436.518,490.415,705.956,1385.513,1385.513,1385.513,1385.513,0.002
85,3.200,275.240,72.845,160.014,160.876,452.401,627.035,771.746,771.746,771.746,0.004
90,2.600,420.800,87.406,160.314,161.414,821.594,983.696,1036.827,1036.827,1036.827,0.002
95,1.800,534.518,93.020,161.740,660.633,802.207,994.806,994.806,994.806,994.806,0.002
100,2.000,494.549,87.471,160.693,710.861,717.420,1337.098,1337.098,1337.098,1337.098,0.002
105,1.800,568.248,72.902,168.985,581.045,906.765,1346.580,1346.580,1346.580,1346.580,0.002
110,2.200,469.253,73.054,163.951,487.763,823.755,902.019,1010.149,1010.149,1010.149,0.002
115,2.800,324.035,68.836,160.125,164.949,419.005,920.084,921.685,921.685,921.685,0.003
120,1.800,562.202,158.344,187.825,495.427,705.583,1341.364,1341.364,1341.364,1341.364,0.002
125,1.800,618.755,159.809,195.781,765.300,834.224,1331.160,1331.160,1331.160,1331.160,0.002
130,1.600,576.977,158.596,476.780,602.976,844.033,981.799,981.799,981.799,981.799,0.002
135,4.000,253.239,86.167,157.757,159.709,473.621,629.611,720.976,720.976,720.976,0.004
140,3.400,268.047,68.176,157.651,158.794,176.931,912.149,915.395,915.395,915.395,0.004
145,2.400,437.545,94.775,159.245,595.775,718.283,893.931,922.391,922.391,922.391,0.002
150,2.200,522.481,84.298,186.289,526.774,843.913,850.689,1041.896,1041.896,1041.896,0.002
155,1.400,636.819,142.465,188.459,684.167,986.950,1067.997,1067.997,1067.997,1067.997,0.002
160,1.800,540.533,87.884,160.014,189.781,930.921,1374.808,1374.808,1374.808,1374.808,0.002
165,1.400,723.039,193.244,483.262,835.053,931.449,975.120,975.120,975.120,975.120,0.001
170,1.600,602.452,166.086,204.759,760.684,983.617,1010.562,1010.562,1010.562,1010.562,0.002
175,2.400,420.335,87.176,160.869,164.629,670.652,1011.325,1343.208,1343.208,1343.208,0.002
180,1.400,793.989,160.590,164.147,872.771,1330.020,1350.268,1350.268,1350.268,1350.268,0.001
185,2.600,359.783,71.959,158.069,163.028,518.764,779.489,991.796,991.796,991.796,0.003
190,1.800,508.394,92.407,161.114,188.884,815.048,1325.513,1325.513,1325.513,1325.513,0.002
195,2.000,494.185,157.774,159.305,494.792,670.770,1335.877,1335.877,1335.877,1335.877,0.002
200,2.000,504.676,158.859,159.672,601.095,835.549,847.310,847.310,847.310,847.310,0.002
205,2.000,530.624,84.054,159.200,592.152,848.867,1370.419,1370.419,1370.419,1370.419,0.002
210,2.200,483.064,69.511,158.324,160.270,866.358,880.684,1358.961,1358.961,1358.961,0.002
