Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3,3.000,239571,239571,318593,734918,1646590,1646590,1646590,1646590,1646590
1,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,1.000,896218,896218,896218,896218,896218,896218,896218,896218,896218
3,2,2.000,578912,578912,966910,772911,966910,966910,966910,966910,966910
4,2,2.000,147618,147618,1029576,588597,1029576,1029576,1029576,1029576,1029576
5,1,1.000,917185,917185,917185,917185,917185,917185,917185,917185,917185
6,2,2.000,147980,147980,401215,274597,401215,401215,401215,401215,401215
7,1,1.000,789107,789107,789107,789107,789107,789107,789107,789107,789107
8,2,2.000,148650,148650,793351,471000,793351,793351,793351,793351,793351
9,4,4.000,147783,166768,167707,459523,1355835,1355835,1355835,1355835,1355835
10,1,1.000,838496,838496,838496,838496,838496,838496,838496,838496,838496
11,1,1.000,950729,950729,950729,950729,950729,950729,950729,950729,950729
12,1,1.000,1401717,1401717,1401717,1401717,1401717,1401717,1401717,1401717,1401717
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,1,1.000,1358872,1358872,1358872,1358872,1358872,1358872,1358872,1358872,1358872
15,2,2.000,123859,123859,610769,367314,610769,610769,610769,610769,610769
16,4,4.000,160254,161547,170900,304782,726430,726430,726430,726430,726430
17,4,4.000,72170,161721,210073,165664,218694,218694,218694,218694,218694
18,3,3.000,188755,188755,190669,361600,705377,705377,705377,705377,705377
19,2,2.000,517882,517882,793169,655525,793169,793169,793169,793169,793169
20,1,1.000,1467081,1467081,1467081,1467081,1467081,1467081,1467081,1467081,1467081
21,1,1.000,193447,193447,193447,193447,193447,193447,193447,193447,193447
22,3,3.000,73214,73214,662312,489874,734098,734098,734098,734098,734098
23,1,1.000,469231,469231,469231,469231,469231,469231,469231,469231,469231
24,3,3.000,242447,242447,547053,574891,935175,935175,935175,935175,935175
25,2,2.000,160829,160829,161184,161006,161184,161184,161184,161184,161184
26,4,4.000,145525,161911,163385,345661,911825,911825,911825,911825,911825
27,4,4.000,97738,146905,160173,141949,162982,162982,162982,162982,162982
28,2,2.000,166027,166027,891241,528634,891241,891241,891241,891241,891241
29,2,2.000,190860,190860,832776,511818,832776,832776,832776,832776,832776
30,2,2.000,162913,162913,786834,474873,786834,786834,786834,786834,786834
31,6,6.000,158411,160692,162538,168375,168349,197831,197831,197831,197831
32,5,5.000,71361,84771,148305,195362,161223,511154,511154,511154,511154
33,5,5.000,161483,165051,165862,335988,186666,1000880,1000880,1000880,1000880
34,1,1.000,900815,900815,900815,900815,900815,900815,900815,900815,900815
35,3,3.000,88121,88121,162581,246650,489250,489250,489250,489250,489250
36,1,1.000,986758,986758,986758,986758,986758,986758,986758,986758,986758
37,2,2.000,164879,164879,1355850,760364,1355850,1355850,1355850,1355850,1355850
38,1,1.000,663264,663264,663264,663264,663264,663264,663264,663264,663264
39,2,2.000,164183,164183,997614,580898,997614,997614,997614,997614,997614
40,2,2.000,159736,159736,163638,161687,163638,163638,163638,163638,163638
41,5,5.000,93870,162063,162511,304517,510112,594032,594032,594032,594032
42,2,2.000,149530,149530,1002958,576244,1002958,1002958,1002958,1002958,1002958
43,2,2.000,163211,163211,945491,554351,945491,945491,945491,945491,945491
44,1,1.000,1352676,1352676,1352676,1352676,1352676,1352676,1352676,1352676,1352676
45,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
46,1,1.000,1362592,1362592,1362592,1362592,1362592,1362592,1362592,1362592,1362592
47,2,2.000,89415,89415,876688,483051,876688,876688,876688,876688,876688
48,2,2.000,166343,166343,660151,413247,660151,660151,660151,660151,660151
49,1,1.000,1084819,1084819,1084819,1084819,1084819,1084819,1084819,1084819,1084819
50,1,1.000,672883,672883,672883,672883,672883,672883,672883,672883,672883
51,1,1.000,1089483,1089483,1089483,1089483,1089483,1089483,1089483,1089483,1089483
52,1,1.000,1038743,1038743,1038743,1038743,1038743,1038743,1038743,1038743,1038743
53,1,1.000,888787,888787,888787,888787,888787,888787,888787,888787,888787
54,5,5.000,73867,162745,167478,213146,169634,492006,492006,492006,492006
55,4,4.000,71145,162518,573777,411844,839936,839936,839936,839936,839936
56,1,1.000,730192,730192,730192,730192,730192,730192,730192,730192,730192
57,1,1.000,572303,572303,572303,572303,572303,572303,572303,572303,572303
58,3,3.000,163505,163505,688098,624756,1022665,1022665,1022665,1022665,1022665
59,1,1.000,655070,655070,655070,655070,655070,655070,655070,655070,655070
60,1,1.000,448498,448498,448498,448498,448498,448498,448498,448498,448498
61,4,4.000,88490,161490,171687,299768,777407,777407,777407,777407,777407
62,3,3.000,161485,161485,161961,256324,445528,445528,445528,445528,445528
63,3,3.000,147537,147537,162403,396524,879632,879632,879632,879632,879632
64,5,5.000,159077,160979,162343,167484,164834,190191,190191,190191,190191
65,2,2.000,606826,606826,817897,712361,817897,817897,817897,817897,817897
66,2,2.000,196696,196696,884501,540598,884501,884501,884501,884501,884501
67,1,1.000,981792,981792,981792,981792,981792,981792,981792,981792,981792
68,3,3.000,164168,164168,164516,455255,1037082,1037082,1037082,1037082,1037082
69,1,1.000,457788,457788,457788,457788,457788,457788,457788,457788,457788
70,3,3.000,162664,162664,163027,296713,564450,564450,564450,564450,564450
71,3,3.000,159953,159953,160175,272555,497539,497539,497539,497539,497539
72,2,2.000,328032,328032,1003849,665940,1003849,1003849,1003849,1003849,1003849
73,1,1.000,1365555,1365555,1365555,1365555,1365555,1365555,1365555,1365555,1365555
74,2,2.000,161500,161500,161720,161610,161720,161720,161720,161720,161720
75,2,2.000,161780,161780,862650,512215,862650,862650,862650,862650,862650
76,1,1.000,1343391,1343391,1343391,1343391,1343391,1343391,1343391,1343391,1343391
77,4,4.000,160503,161313,163901,261404,559900,559900,559900,559900,559900
78,1,1.000,1019116,1019116,1019116,1019116,1019116,1019116,1019116,1019116,1019116
79,1,1.000,868954,868954,868954,868954,868954,868954,868954,868954,868954
80,1,1.000,653075,653075,653075,653075,653075,653075,653075,653075,653075
81,2,2.000,490415,490415,934849,712632,934849,934849,934849,934849,934849
82,2,2.000,86555,86555,436518,261536,436518,436518,436518,436518,436518
83,3,3.000,162174,162174,439124,435751,705956,705956,705956,705956,705956
84,1,1.000,1385513,1385513,1385513,1385513,1385513,1385513,1385513,1385513,1385513
85,2,2.000,162362,162362,627035,394698,627035,627035,627035,627035,627035
86,3,3.000,159940,159940,160014,169247,187787,187787,187787,187787,187787
87,3,3.000,72845,72845,548503,464364,771746,771746,771746,771746,771746
88,2,2.000,160495,160495,442522,301508,442522,442522,442522,442522,442522
89,6,6.000,86934,89543,160561,185098,160876,452401,452401,452401,452401
90,6,6.000,87406,159381,161365,258623,161414,821594,821594,821594,821594
91,2,2.000,160314,160314,197229,178771,197229,197229,197229,197229,197229
92,2,2.000,823711,823711,983696,903703,983696,983696,983696,983696,983696
93,1,1.000,556830,556830,556830,556830,556830,556830,556830,556830,556830
94,2,2.000,160046,160046,1036827,598436,1036827,1036827,1036827,1036827,1036827
95,3,3.000,93020,93020,171789,355672,802207,802207,802207,802207,802207
96,3,3.000,161441,161441,161740,431995,972806,972806,972806,972806,972806
97,1,1.000,792221,792221,792221,792221,792221,792221,792221,792221,792221
98,1,1.000,660633,660633,660633,660633,660633,660633,660633,660633,660633
99,1,1.000,994806,994806,994806,994806,994806,994806,994806,994806,994806
100,2,2.000,88811,88811,717420,403115,717420,717420,717420,717420,717420
101,2,2.000,168844,168844,1337098,752971,1337098,1337098,1337098,1337098,1337098
102,1,1.000,798912,798912,798912,798912,798912,798912,798912,798912,798912
103,4,4.000,87471,160693,162772,280885,712604,712604,712604,712604,712604
104,1,1.000,710861,710861,710861,710861,710861,710861,710861,710861,710861
105,1,1.000,717906,717906,717906,717906,717906,717906,717906,717906,717906
