Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.000,784.554,506.706,560.978,751.945,914.673,1188.466,1188.466,1188.466,1188.466,0.001
5,0.800,893.864,795.377,906.348,916.148,957.582,957.582,957.582,957.582,957.582,0.001
10,0.800,649.518,455.037,516.541,572.824,1053.668,1053.668,1053.668,1053.668,1053.668,0.002
15,1.000,691.989,497.550,521.179,676.346,821.113,943.757,943.757,943.757,943.757,0.001
20,1.000,714.706,440.264,610.155,664.924,873.674,984.512,984.512,984.512,984.512,0.001
25,0.800,600.297,445.321,571.940,664.811,719.115,719.115,719.115,719.115,719.115,0.002
30,1.200,780.081,453.107,549.896,884.629,912.760,1011.834,1011.834,1011.834,1011.834,0.001
35,0.800,701.535,496.220,710.273,748.458,851.189,851.189,851.189,851.189,851.189,0.001
40,1.200,545.775,438.057,451.232,582.851,596.095,720.419,720.419,720.419,720.419,0.002
45,1.000,833.764,570.750,668.182,897.733,1009.510,1022.645,1022.645,1022.645,1022.645,0.001
50,1.200,688.724,564.177,616.175,724.852,752.140,775.548,775.548,775.548,775.548,0.001
55,0.800,824.603,623.575,816.886,911.006,946.946,946.946,946.946,946.946,946.946,0.001
60,1.200,856.136,441.035,446.587,607.803,795.575,2280.637,2280.637,2280.637,2280.637,0.001
65,0.800,793.177,634.193,672.735,889.783,975.997,975.997,975.997,975.997,975.997,0.001
70,1.000,1000.433,727.021,967.447,1032.405,1092.860,1182.434,1182.434,1182.434,1182.434,0.001
75,1.000,837.390,717.535,826.549,861.072,861.268,920.524,920.524,920.524,920.524,0.001
80,0.600,743.619,566.594,566.594,642.922,1021.342,1021.342,1021.342,1021.342,1021.342,0.001
85,0.800,838.905,558.008,866.828,928.011,1002.772,1002.772,1002.772,1002.772,1002.772,0.001
90,1.000,711.952,449.409,452.739,809.864,878.937,968.813,968.813,968.813,968.813,0.001
