Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,359.567,359.567,359.567,359.567,359.567,359.567,359.567,359.567,359.567,0.003
5,0.200,72.916,72.916,72.916,72.916,72.916,72.916,72.916,72.916,72.916,0.014
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
20,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.200,58.204,58.204,58.204,58.204,58.204,58.204,58.204,58.204,58.204,0.017
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
45,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
50,0.200,61.845,61.845,61.845,61.845,61.845,61.845,61.845,61.845,61.845,0.016
55,0.200,61.192,61.192,61.192,61.192,61.192,61.192,61.192,61.192,61.192,0.016
60,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
65,0.400,71.924,58.463,58.463,85.384,85.384,85.384,85.384,85.384,85.384,0.014
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
75,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
80,0.200,59.727,59.727,59.727,59.727,59.727,59.727,59.727,59.727,59.727,0.017
85,0.200,63.651,63.651,63.651,63.651,63.651,63.651,63.651,63.651,63.651,0.016
90,0.400,58.938,58.470,58.470,59.406,59.406,59.406,59.406,59.406,59.406,0.017
95,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
100,0.200,70.638,70.638,70.638,70.638,70.638,70.638,70.638,70.638,70.638,0.014
105,0.200,58.894,58.894,58.894,58.894,58.894,58.894,58.894,58.894,58.894,0.017
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
115,0.600,69.459,62.768,62.768,71.651,73.958,73.958,73.958,73.958,73.958,0.014
120,0.200,56.974,56.974,56.974,56.974,56.974,56.974,56.974,56.974,56.974,0.018
125,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.200,59.257,59.257,59.257,59.257,59.257,59.257,59.257,59.257,59.257,0.017
135,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
140,0.200,56.662,56.662,56.662,56.662,56.662,56.662,56.662,56.662,56.662,0.018
145,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
155,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
160,0.400,64.460,58.691,58.691,70.228,70.228,70.228,70.228,70.228,70.228,0.016
165,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
175,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
185,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
195,0.200,58.336,58.336,58.336,58.336,58.336,58.336,58.336,58.336,58.336,0.017
200,0.200,57.740,57.740,57.740,57.740,57.740,57.740,57.740,57.740,57.740,0.017
205,0.200,57.761,57.761,57.761,57.761,57.761,57.761,57.761,57.761,57.761,0.017
210,0.200,57.347,57.347,57.347,57.347,57.347,57.347,57.347,57.347,57.347,0.017
215,0.200,69.883,69.883,69.883,69.883,69.883,69.883,69.883,69.883,69.883,0.014
220,0.400,63.440,58.655,58.655,68.225,68.225,68.225,68.225,68.225,68.225,0.016
225,0.200,71.166,71.166,71.166,71.166,71.166,71.166,71.166,71.166,71.166,0.014
230,0.200,58.099,58.099,58.099,58.099,58.099,58.099,58.099,58.099,58.099,0.017
235,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.200,71.993,71.993,71.993,71.993,71.993,71.993,71.993,71.993,71.993,0.014
245,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.200,63.716,63.716,63.716,63.716,63.716,63.716,63.716,63.716,63.716,0.016
255,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
265,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
270,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
275,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
280,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
285,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
290,0.400,64.054,58.581,58.581,69.527,69.527,69.527,69.527,69.527,69.527,0.016
295,0.200,70.894,70.894,70.894,70.894,70.894,70.894,70.894,70.894,70.894,0.014
300,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
305,0.400,68.163,57.614,57.614,78.712,78.712,78.712,78.712,78.712,78.712,0.015
310,0.200,59.756,59.756,59.756,59.756,59.756,59.756,59.756,59.756,59.756,0.017
315,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
320,0.200,70.214,70.214,70.214,70.214,70.214,70.214,70.214,70.214,70.214,0.014
325,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
330,0.200,57.227,57.227,57.227,57.227,57.227,57.227,57.227,57.227,57.227,0.017
335,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
340,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
345,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
350,0.600,62.406,56.398,56.398,58.428,72.392,72.392,72.392,72.392,72.392,0.016
355,0.200,69.293,69.293,69.293,69.293,69.293,69.293,69.293,69.293,69.293,0.014
360,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
365,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
370,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
375,0.200,84.103,84.103,84.103,84.103,84.103,84.103,84.103,84.103,84.103,0.012
380,0.200,56.993,56.993,56.993,56.993,56.993,56.993,56.993,56.993,56.993,0.018
385,0.200,68.729,68.729,68.729,68.729,68.729,68.729,68.729,68.729,68.729,0.015
390,0.400,65.484,60.272,60.272,70.696,70.696,70.696,70.696,70.696,70.696,0.015
395,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
400,0.200,68.566,68.566,68.566,68.566,68.566,68.566,68.566,68.566,68.566,0.015
405,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
410,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
415,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
420,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
425,0.200,56.513,56.513,56.513,56.513,56.513,56.513,56.513,56.513,56.513,0.018
430,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
435,0.200,67.088,67.088,67.088,67.088,67.088,67.088,67.088,67.088,67.088,0.015
440,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
445,0.200,68.862,68.862,68.862,68.862,68.862,68.862,68.862,68.862,68.862,0.015
450,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
455,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
460,0.400,58.008,57.325,57.325,58.691,58.691,58.691,58.691,58.691,58.691,0.017
465,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
470,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
475,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
480,0.800,67.652,56.837,69.541,70.412,73.818,73.818,73.818,73.818,73.818,0.015
485,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
490,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
495,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
500,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
505,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
510,0.200,69.437,69.437,69.437,69.437,69.437,69.437,69.437,69.437,69.437,0.014
515,0.200,57.918,57.918,57.918,57.918,57.918,57.918,57.918,57.918,57.918,0.017
520,0.200,58.893,58.893,58.893,58.893,58.893,58.893,58.893,58.893,58.893,0.017
525,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
530,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
535,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
540,0.200,57.163,57.163,57.163,57.163,57.163,57.163,57.163,57.163,57.163,0.017
545,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
550,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
555,0.200,59.997,59.997,59.997,59.997,59.997,59.997,59.997,59.997,59.997,0.017
560,0.400,62.586,56.803,56.803,68.369,68.369,68.369,68.369,68.369,68.369,0.016
565,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
570,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
575,0.200,68.026,68.026,68.026,68.026,68.026,68.026,68.026,68.026,68.026,0.015
580,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
585,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
590,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
595,0.200,58.135,58.135,58.135,58.135,58.135,58.135,58.135,58.135,58.135,0.017
600,0.200,69.974,69.974,69.974,69.974,69.974,69.974,69.974,69.974,69.974,0.014
605,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
610,0.200,70.421,70.421,70.421,70.421,70.421,70.421,70.421,70.421,70.421,0.014
615,0.400,90.501,74.836,74.836,106.166,106.166,106.166,106.166,106.166,106.166,0.011
620,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
625,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
630,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
635,0.200,58.416,58.416,58.416,58.416,58.416,58.416,58.416,58.416,58.416,0.017
640,0.200,57.982,57.982,57.982,57.982,57.982,57.982,57.982,57.982,57.982,0.017
645,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
650,0.200,56.385,56.385,56.385,56.385,56.385,56.385,56.385,56.385,56.385,0.018
655,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
660,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
665,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
670,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
675,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
680,0.200,58.723,58.723,58.723,58.723,58.723,58.723,58.723,58.723,58.723,0.017
685,0.400,65.394,58.865,58.865,71.922,71.922,71.922,71.922,71.922,71.922,0.015
690,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
