Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
5,1.000,273.642,181.308,181.932,195.285,292.687,517.000,517.000,517.000,517.000,0.004
10,1.000,429.782,177.630,186.713,187.145,189.731,1407.693,1407.693,1407.693,1407.693,0.002
15,1.800,183.095,173.606,177.626,183.041,187.386,192.648,192.648,192.648,192.648,0.005
20,1.400,180.207,170.321,172.202,174.504,183.176,205.445,205.445,205.445,205.445,0.006
25,1.000,511.871,181.955,185.131,198.816,573.106,1420.349,1420.349,1420.349,1420.349,0.002
30,0.800,186.454,176.130,179.407,183.609,206.671,206.671,206.671,206.671,206.671,0.005
35,1.800,190.063,171.062,176.052,181.566,183.821,276.523,276.523,276.523,276.523,0.005
40,1.400,185.961,171.626,181.028,184.096,186.763,209.507,209.507,209.507,209.507,0.005
45,0.800,188.429,176.557,177.211,190.168,209.780,209.780,209.780,209.780,209.780,0.005
50,1.200,183.585,172.430,175.932,185.361,186.758,204.568,204.568,204.568,204.568,0.005
55,1.200,185.101,172.979,178.718,184.676,191.927,200.511,200.511,200.511,200.511,0.005
60,0.400,191.088,179.238,179.238,202.938,202.938,202.938,202.938,202.938,202.938,0.005
65,1.400,220.401,174.731,176.069,190.999,209.768,413.562,413.562,413.562,413.562,0.005
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
75,0.200,193.122,193.122,193.122,193.122,193.122,193.122,193.122,193.122,193.122,0.005
80,2.800,179.951,173.192,175.037,181.260,184.619,187.222,190.455,190.455,190.455,0.006
85,2.200,187.682,172.266,173.614,185.363,204.602,208.741,211.600,211.600,211.600,0.005
90,1.000,177.718,172.940,174.647,175.632,175.873,189.500,189.500,189.500,189.500,0.006
95,0.600,184.558,172.509,172.509,176.867,204.298,204.298,204.298,204.298,204.298,0.005
100,1.600,179.495,172.541,176.003,181.706,184.432,187.440,187.440,187.440,187.440,0.006
105,1.000,185.654,174.148,177.361,180.986,188.851,206.922,206.922,206.922,206.922,0.005
110,0.800,175.564,173.696,174.823,175.357,178.381,178.381,178.381,178.381,178.381,0.006
115,1.400,185.723,177.316,177.696,181.485,195.964,196.506,196.506,196.506,196.506,0.005
120,0.800,177.156,168.920,175.260,180.616,183.826,183.826,183.826,183.826,183.826,0.006
125,0.400,194.427,177.805,177.805,211.049,211.049,211.049,211.049,211.049,211.049,0.005
130,0.800,180.097,175.684,178.212,179.219,187.274,187.274,187.274,187.274,187.274,0.006
135,2.000,180.272,172.414,174.661,181.885,186.272,190.190,190.190,190.190,190.190,0.006
140,0.600,187.083,174.243,174.243,183.399,203.607,203.607,203.607,203.607,203.607,0.005
145,0.400,181.869,173.664,173.664,190.074,190.074,190.074,190.074,190.074,190.074,0.005
150,0.600,186.490,173.172,173.172,177.018,209.281,209.281,209.281,209.281,209.281,0.005
155,1.400,179.663,168.900,169.901,182.309,184.374,189.642,189.642,189.642,189.642,0.006
160,1.400,179.223,170.643,172.055,181.676,182.475,186.480,186.480,186.480,186.480,0.006
165,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.800,185.108,172.284,176.072,182.394,209.683,209.683,209.683,209.683,209.683,0.005
175,1.000,185.312,170.493,179.198,186.526,186.814,203.529,203.529,203.529,203.529,0.005
180,0.600,171.061,168.161,168.161,169.794,175.227,175.227,175.227,175.227,175.227,0.006
185,1.600,178.946,170.112,174.096,182.436,183.935,185.594,185.594,185.594,185.594,0.006
190,0.800,194.599,184.498,190.896,194.741,208.259,208.259,208.259,208.259,208.259,0.005
195,1.200,188.027,176.932,177.464,192.782,196.058,206.938,206.938,206.938,206.938,0.005
200,0.800,174.287,168.340,168.998,175.234,184.574,184.574,184.574,184.574,184.574,0.006
205,1.000,422.856,175.341,178.544,180.298,211.543,1368.552,1368.552,1368.552,1368.552,0.002
210,0.200,170.044,170.044,170.044,170.044,170.044,170.044,170.044,170.044,170.044,0.006
215,0.800,179.942,170.482,170.771,186.845,191.669,191.669,191.669,191.669,191.669,0.006
220,1.800,184.788,172.189,175.809,178.036,194.424,209.086,209.086,209.086,209.086,0.005
225,1.200,179.262,171.528,172.480,183.008,184.890,188.278,188.278,188.278,188.278,0.006
230,0.800,205.852,171.515,183.876,198.104,269.914,269.914,269.914,269.914,269.914,0.005
235,1.400,176.161,167.505,170.375,176.945,180.516,183.559,183.559,183.559,183.559,0.006
240,0.800,174.342,167.224,171.280,173.032,185.832,185.832,185.832,185.832,185.832,0.006
245,0.400,182.465,172.679,172.679,192.250,192.250,192.250,192.250,192.250,192.250,0.005
250,0.800,184.465,175.404,179.974,184.416,198.065,198.065,198.065,198.065,198.065,0.005
255,0.800,180.638,174.715,176.892,182.881,188.062,188.062,188.062,188.062,188.062,0.006
260,1.200,185.676,171.493,182.685,186.125,186.210,202.374,202.374,202.374,202.374,0.005
265,1.800,176.183,169.000,170.622,173.263,182.436,183.362,183.362,183.362,183.362,0.006
270,0.800,175.901,170.063,170.952,178.299,184.290,184.290,184.290,184.290,184.290,0.006
275,1.200,182.152,173.072,174.700,186.584,187.825,188.817,188.817,188.817,188.817,0.005
280,1.400,176.704,168.142,170.797,173.283,184.668,186.701,186.701,186.701,186.701,0.006
285,1.400,191.258,169.474,171.628,177.965,196.588,263.525,263.525,263.525,263.525,0.005
290,0.800,178.444,174.295,175.540,178.716,185.224,185.224,185.224,185.224,185.224,0.006
295,0.600,196.750,176.124,176.124,189.958,224.167,224.167,224.167,224.167,224.167,0.005
300,0.200,1987.756,1987.756,1987.756,1987.756,1987.756,1987.756,1987.756,1987.756,1987.756,0.001
305,0.800,180.764,170.367,177.954,183.035,191.700,191.700,191.700,191.700,191.700,0.006
310,0.800,205.883,176.888,190.779,225.958,229.907,229.907,229.907,229.907,229.907,0.005
