Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0.200,338.868,338.868,338.868,338.868,338.868,338.868,338.868,338.868,338.868,0.003
5,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
10,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
15,0.400,121.240,55.219,55.219,187.261,187.261,187.261,187.261,187.261,187.261,0.008
20,0.200,54.701,54.701,54.701,54.701,54.701,54.701,54.701,54.701,54.701,0.018
25,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
30,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
35,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
40,0.200,57.538,57.538,57.538,57.538,57.538,57.538,57.538,57.538,57.538,0.017
45,0.400,61.554,59.834,59.834,63.273,63.273,63.273,63.273,63.273,63.273,0.016
50,0.400,58.383,57.514,57.514,59.251,59.251,59.251,59.251,59.251,59.251,0.017
55,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
60,0.200,56.281,56.281,56.281,56.281,56.281,56.281,56.281,56.281,56.281,0.018
65,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
70,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
75,0.200,57.307,57.307,57.307,57.307,57.307,57.307,57.307,57.307,57.307,0.017
80,0.200,59.076,59.076,59.076,59.076,59.076,59.076,59.076,59.076,59.076,0.017
85,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
90,0.200,60.557,60.557,60.557,60.557,60.557,60.557,60.557,60.557,60.557,0.017
95,0.200,56.479,56.479,56.479,56.479,56.479,56.479,56.479,56.479,56.479,0.018
100,0.200,55.591,55.591,55.591,55.591,55.591,55.591,55.591,55.591,55.591,0.018
105,0.200,58.217,58.217,58.217,58.217,58.217,58.217,58.217,58.217,58.217,0.017
110,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
115,0.400,57.884,57.417,57.417,58.351,58.351,58.351,58.351,58.351,58.351,0.017
120,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
125,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
130,0.200,94.439,94.439,94.439,94.439,94.439,94.439,94.439,94.439,94.439,0.011
135,0.200,54.803,54.803,54.803,54.803,54.803,54.803,54.803,54.803,54.803,0.018
140,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
145,0.200,64.129,64.129,64.129,64.129,64.129,64.129,64.129,64.129,64.129,0.016
150,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
155,0.200,54.771,54.771,54.771,54.771,54.771,54.771,54.771,54.771,54.771,0.018
160,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
165,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
170,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
175,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
180,0.200,55.336,55.336,55.336,55.336,55.336,55.336,55.336,55.336,55.336,0.018
185,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
190,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
195,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
200,0.200,56.225,56.225,56.225,56.225,56.225,56.225,56.225,56.225,56.225,0.018
205,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
210,0.200,57.890,57.890,57.890,57.890,57.890,57.890,57.890,57.890,57.890,0.017
215,0.200,53.846,53.846,53.846,53.846,53.846,53.846,53.846,53.846,53.846,0.019
220,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
225,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
230,0.200,56.636,56.636,56.636,56.636,56.636,56.636,56.636,56.636,56.636,0.018
235,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
240,0.400,62.497,57.123,57.123,67.870,67.870,67.870,67.870,67.870,67.870,0.016
245,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
250,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
255,0.000,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000.000
260,0.200,55.751,55.751,55.751,55.751,55.751,55.751,55.751,55.751,55.751,0.018
265,0.200,57.038,57.038,57.038,57.038,57.038,57.038,57.038,57.038,57.038,0.018
