Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.600,657.020,338.868,506.706,634.953,914.673,1188.466,1188.466,1188.466,1188.466,0.002
5,2.000,501.658,72.916,181.932,517.000,906.348,957.582,957.582,957.582,957.582,0.002
10,1.800,527.442,177.630,187.145,455.037,572.824,1407.693,1407.693,1407.693,1407.693,0.002
15,3.200,334.393,55.219,182.423,187.386,521.179,821.113,943.757,943.757,943.757,0.003
20,2.600,376.129,54.701,173.584,183.176,610.155,873.674,984.512,984.512,984.512,0.003
25,1.800,551.172,181.955,198.816,571.940,664.811,1420.349,1420.349,1420.349,1420.349,0.002
30,2.200,498.591,58.204,179.407,453.107,884.629,912.760,1011.834,1011.834,1011.834,0.002
35,2.600,347.439,171.062,178.574,183.821,496.220,748.458,851.189,851.189,851.189,0.003
40,3.000,319.727,57.538,181.028,186.763,485.997,596.095,720.419,720.419,720.419,0.003
45,2.200,458.695,59.834,176.557,209.780,897.733,1009.510,1022.645,1022.645,1022.645,0.002
50,3.000,360.831,57.514,172.430,186.758,699.451,752.140,775.548,775.548,775.548,0.003
55,2.400,385.968,61.192,178.718,191.927,816.886,911.006,946.946,946.946,946.946,0.003
60,1.800,619.475,56.281,202.938,446.587,607.803,2280.637,2280.637,2280.637,2280.637,0.002
65,2.600,373.797,58.463,176.069,198.679,634.193,889.783,975.997,975.997,975.997,0.003
70,1.000,1000.433,727.021,967.447,1032.405,1092.860,1182.434,1182.434,1182.434,1182.434,0.001
75,1.600,575.497,57.307,193.122,826.549,861.268,920.524,920.524,920.524,920.524,0.002
80,3.800,256.262,59.076,174.174,181.260,187.222,642.922,1021.342,1021.342,1021.342,0.004
85,3.200,342.736,63.651,174.488,198.342,558.008,928.011,1002.772,1002.772,1002.772,0.003
90,2.600,355.907,58.470,172.940,175.873,452.739,878.937,968.813,968.813,968.813,0.003
95,1.600,677.870,56.479,176.867,712.420,980.142,2230.794,2230.794,2230.794,2230.794,0.001
100,2.800,317.895,55.591,172.566,183.595,464.292,811.705,846.851,846.851,846.851,0.003
105,2.800,408.256,58.217,172.421,180.986,636.505,1100.849,1735.765,1735.765,1735.765,0.002
110,1.800,477.029,173.696,175.357,524.254,645.136,1060.172,1060.172,1060.172,1060.172,0.002
115,3.400,325.335,57.417,73.958,179.079,196.506,1042.288,1052.849,1052.849,1052.849,0.003
120,2.000,479.430,56.974,175.260,658.630,767.999,988.963,988.963,988.963,988.963,0.002
125,1.800,600.719,161.805,211.049,763.618,883.807,912.894,912.894,912.894,912.894,0.002
130,1.800,483.743,59.257,175.684,179.219,462.158,2184.737,2184.737,2184.737,2184.737,0.002
135,3.200,318.694,54.803,174.661,183.751,462.192,878.001,999.437,999.437,999.437,0.003
140,2.200,473.634,56.662,174.243,428.219,817.147,1013.459,1013.795,1013.795,1013.795,0.002
145,2.000,537.090,64.129,173.664,559.330,880.112,995.498,995.498,995.498,995.498,0.002
150,1.600,616.804,173.172,209.281,605.317,866.083,1678.128,1678.128,1678.128,1678.128,0.002
155,2.600,342.062,54.771,179.410,184.374,441.347,725.275,923.022,923.022,923.022,0.003
160,3.000,352.927,58.691,170.643,182.320,540.655,899.894,974.089,974.089,974.089,0.003
165,1.200,759.005,439.465,472.031,849.800,964.528,1006.803,1006.803,1006.803,1006.803,0.001
170,2.000,523.663,172.284,182.394,703.774,867.633,897.213,897.213,897.213,897.213,0.002
175,2.000,487.698,170.493,186.526,520.849,765.687,1012.067,1012.067,1012.067,1012.067,0.002
180,2.400,406.127,55.336,169.794,441.175,768.535,849.395,854.958,854.958,854.958,0.002
185,2.400,439.841,161.071,174.096,182.591,685.063,917.124,2083.264,2083.264,2083.264,0.002
190,1.800,543.173,184.498,194.741,575.241,884.349,1011.366,1011.366,1011.366,1011.366,0.002
195,2.400,443.114,58.336,177.986,206.938,866.416,899.051,956.858,956.858,956.858,0.002
200,2.400,387.228,56.225,168.340,184.574,705.652,857.576,980.675,980.675,980.675,0.003
205,2.000,544.317,57.761,178.544,491.266,968.193,1368.552,1368.552,1368.552,1368.552,0.002
210,2.000,490.262,57.347,170.044,580.667,759.938,1098.251,1098.251,1098.251,1098.251,0.002
215,2.800,373.161,53.846,162.762,191.669,597.527,810.632,840.892,840.892,840.892,0.003
220,3.000,316.567,58.655,173.222,188.932,493.303,958.702,964.301,964.301,964.301,0.003
225,2.400,406.784,71.166,175.387,188.278,662.669,885.409,921.348,921.348,921.348,0.002
230,1.800,532.765,56.636,171.515,198.104,714.015,2176.794,2176.794,2176.794,2176.794,0.002
