Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,3,3.000,338868,338868,359567,628967,1188466,1188466,1188466,1188466,1188466
1,1,1.000,634953,634953,634953,634953,634953,634953,634953,634953,634953
2,1,1.000,914673,914673,914673,914673,914673,914673,914673,914673,914673
3,1,1.000,751945,751945,751945,751945,751945,751945,751945,751945,751945
4,2,2.000,506706,506706,560978,533842,560978,560978,560978,560978,560978
5,3,3.000,72916,72916,292687,294201,517000,517000,517000,517000,517000
6,1,1.000,906348,906348,906348,906348,906348,906348,906348,906348,906348
7,2,2.000,181308,181308,795377,488342,795377,795377,795377,795377,795377
8,2,2.000,195285,195285,916148,555716,916148,916148,916148,916148,916148
9,2,2.000,181932,181932,957582,569757,957582,957582,957582,957582,957582
10,1,1.000,1053668,1053668,1053668,1053668,1053668,1053668,1053668,1053668,1053668
11,2,2.000,189731,189731,516541,353136,516541,516541,516541,516541,516541
12,2,2.000,572824,572824,1407693,990258,1407693,1407693,1407693,1407693,1407693
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,4,4.000,177630,186713,187145,251631,455037,455037,455037,455037,455037
15,6,6.000,177626,183041,187261,185438,187386,190855,190855,190855,190855
16,2,2.000,192648,192648,676346,434497,676346,676346,676346,676346,676346
17,3,3.000,55219,55219,173606,349979,821113,821113,821113,821113,821113
18,4,4.000,173814,182423,497550,343741,521179,521179,521179,521179,521179
19,1,1.000,943757,943757,943757,943757,943757,943757,943757,943757,943757
20,2,2.000,182218,182218,873674,527946,873674,873674,873674,873674,873674
21,1,1.000,664924,664924,664924,664924,664924,664924,664924,664924,664924
22,3,3.000,173584,173584,205445,329728,610155,610155,610155,610155,610155
23,4,4.000,170321,172202,174504,375384,984512,984512,984512,984512,984512
24,3,3.000,54701,54701,183176,226047,440264,440264,440264,440264,440264
25,2,2.000,664811,664811,1420349,1042580,1420349,1420349,1420349,1420349,1420349
26,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,3,3.000,181955,181955,185131,270802,445321,445321,445321,445321,445321
28,3,3.000,198816,198816,571940,447954,573106,573106,573106,573106,573106
29,1,1.000,719115,719115,719115,719115,719115,719115,719115,719115,719115
30,2,2.000,206671,206671,1011834,609252,1011834,1011834,1011834,1011834,1011834
31,1,1.000,912760,912760,912760,912760,912760,912760,912760,912760,912760
32,3,3.000,179407,179407,183609,272041,453107,453107,453107,453107,453107
33,2,2.000,176130,176130,884629,530379,884629,884629,884629,884629,884629
34,3,3.000,58204,58204,549896,492119,868257,868257,868257,868257,868257
35,2,2.000,178574,178574,710273,444423,710273,710273,710273,710273,710273
36,2,2.000,182128,182128,276523,229325,276523,276523,276523,276523,276523
37,4,4.000,171062,181566,183821,258167,496220,496220,496220,496220,496220
38,2,2.000,185891,185891,748458,467174,748458,748458,748458,748458,748458
39,3,3.000,174952,174952,176052,400731,851189,851189,851189,851189,851189
40,2,2.000,184832,184832,720419,452625,720419,720419,720419,720419,720419
41,3,3.000,171626,171626,184096,317272,596095,596095,596095,596095,596095
42,3,3.000,57538,57538,485997,375462,582851,582851,582851,582851,582851
43,3,3.000,161989,161989,438057,350426,451232,451232,451232,451232,451232
44,4,4.000,181028,183874,186763,190293,209507,209507,209507,209507,209507
45,4,4.000,177211,190168,209780,368723,897733,897733,897733,897733,897733
46,3,3.000,59834,59834,63273,377539,1009510,1009510,1009510,1009510,1009510
47,1,1.000,570750,570750,570750,570750,570750,570750,570750,570750,570750
48,2,2.000,176557,176557,668182,422369,668182,668182,668182,668182,668182
49,1,1.000,1022645,1022645,1022645,1022645,1022645,1022645,1022645,1022645,1022645
50,4,4.000,57514,175932,186758,298938,775548,775548,775548,775548,775548
51,1,1.000,752140,752140,752140,752140,752140,752140,752140,752140,752140
52,3,3.000,176461,176461,204568,332401,616175,616175,616175,616175,616175
53,5,5.000,59251,61845,172430,208612,185361,564177,564177,564177,564177
54,2,2.000,699451,699451,724852,712151,724852,724852,724852,724852,724852
55,1,1.000,946946,946946,946946,946946,946946,946946,946946,946946,946946
56,2,2.000,178718,178718,623575,401146,623575,623575,623575,623575,623575
57,1,1.000,816886,816886,816886,816886,816886,816886,816886,816886,816886
58,4,4.000,161407,172979,184676,357517,911006,911006,911006,911006,911006
59,4,4.000,61192,181797,191927,158856,200511,200511,200511,200511,200511
60,2,2.000,565177,565177,795575,680376,795575,795575,795575,795575,795575
61,3,3.000,56281,56281,441035,314634,446587,446587,446587,446587,446587
62,1,1.000,607803,607803,607803,607803,607803,607803,607803,607803,607803
63,3,3.000,179238,179238,202938,887604,2280637,2280637,2280637,2280637,2280637
64,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
65,1,1.000,672735,672735,672735,672735,672735,672735,672735,672735,672735
66,5,5.000,58463,85384,174731,137129,176069,190999,190999,190999,190999
67,4,4.000,179001,198679,209768,250252,413562,413562,413562,413562,413562
68,2,2.000,634193,634193,889783,761988,889783,889783,889783,889783,889783
69,1,1.000,975997,975997,975997,975997,975997,975997,975997,975997,975997
70,1,1.000,1032405,1032405,1032405,1032405,1032405,1032405,1032405,1032405,1032405
71,1,1.000,967447,967447,967447,967447,967447,967447,967447,967447,967447
72,1,1.000,1182434,1182434,1182434,1182434,1182434,1182434,1182434,1182434,1182434
73,1,1.000,1092860,1092860,1092860,1092860,1092860,1092860,1092860,1092860,1092860
74,1,1.000,727021,727021,727021,727021,727021,727021,727021,727021,727021
75,2,2.000,193122,193122,861072,527097,861072,861072,861072,861072,861072
76,1,1.000,826549,826549,826549,826549,826549,826549,826549,826549,826549
77,3,3.000,57307,57307,166595,361723,861268,861268,861268,861268,861268
78,1,1.000,920524,920524,920524,920524,920524,920524,920524,920524,920524
79,1,1.000,717535,717535,717535,717535,717535,717535,717535,717535,717535
80,3,3.000,173192,173192,175037,330383,642922,642922,642922,642922,642922
81,6,6.000,59727,173278,175964,223662,190455,566594,566594,566594,566594
82,4,4.000,59076,181260,181988,152133,186210,186210,186210,186210,186210
83,2,2.000,175851,175851,1021342,598596,1021342,1021342,1021342,1021342,1021342
84,4,4.000,174174,184106,184619,182530,187222,187222,187222,187222,187222
85,1,1.000,1002772,1002772,1002772,1002772,1002772,1002772,1002772,1002772,1002772
86,2,2.000,198342,198342,928011,563176,928011,928011,928011,928011,928011
87,5,5.000,172859,173614,185363,189035,204602,208741,208741,208741,208741
88,5,5.000,63651,172266,174585,293075,188045,866828,866828,866828,866828
89,3,3.000,174488,174488,211600,314698,558008,558008,558008,558008,558008
90,2,2.000,60557,60557,449409,254983,449409,449409,449409,449409,449409
91,6,6.000,58470,59406,175632,256098,189500,878937,878937,878937,878937
92,1,1.000,452739,452739,452739,452739,452739,452739,452739,452739,452739
93,2,2.000,175873,175873,968813,572343,968813,968813,968813,968813,968813
94,2,2.000,172940,172940,809864,491402,809864,809864,809864,809864,809864
