Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1713964796.448480,391298,0,1
1,NewOrder,1713964796.840105,270242,0,1
1,NewOrder,1713964797.110364,166209,0,1
1,NewOrder,1713964797.276603,1110234,0,1
1,NewOrder,1713964798.386872,146627,0,1
2,Payment,1713964798.533529,164114,0,1
1,NewOrder,1713964798.697678,612939,0,1
2,Payment,1713964799.310648,162725,0,1
5,StockLevel,1713964799.473406,176268,0,1
5,StockLevel,1713964799.649708,151092,0,1
1,NewOrder,1713964799.800834,145636,0,1
4,Delivery,1713964799.946500,358303,0,1
1,NewOrder,1713964800.304833,564351,0,1
1,NewOrder,1713964800.869214,151998,0,1
1,NewOrder,1713964801.021242,149830,0,1
2,Payment,1713964801.171102,180126,0,1
2,Payment,1713964801.351263,181706,0,1
2,Payment,1713964801.533002,160552,0,1
3,OrderStatus,1713964801.693590,153988,0,1
2,Payment,1713964801.847612,265599,0,1
1,NewOrder,1713964802.113245,1289724,0,1
2,Payment,1713964803.403018,165028,0,1
2,Payment,1713964803.568080,173829,0,1
4,Delivery,1713964803.741943,461223,0,1
1,NewOrder,1713964804.203196,173800,0,1
2,Payment,1713964804.377026,159136,0,1
1,NewOrder,1713964804.536196,146899,0,1
1,NewOrder,1713964804.683124,163352,0,1
2,Payment,1713964804.846506,160964,0,1
1,NewOrder,1713964805.007504,994959,0,1
2,Payment,1713964806.002498,172652,0,1
1,NewOrder,1713964806.175189,144816,0,1
2,Payment,1713964806.320039,163422,0,1
5,StockLevel,1713964806.483495,80864,0,1
1,NewOrder,1713964806.564394,147178,0,1
1,NewOrder,1713964806.711601,144834,0,1
2,Payment,1713964806.856491,193046,0,1
1,NewOrder,1713964807.049576,162339,0,1
2,Payment,1713964807.211944,202716,0,1
1,NewOrder,1713964807.414693,759832,0,1
2,Payment,1713964808.174568,159675,0,1
2,Payment,1713964808.334276,160497,0,1
1,NewOrder,1713964808.494802,977846,0,1
4,Delivery,1713964809.472706,862179,0,1
1,NewOrder,1713964810.335017,707243,0,1
1,NewOrder,1713964811.042296,674517,0,1
2,Payment,1713964811.716845,163505,0,1
