Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1.000,215.994,162.725,164.114,180.126,181.706,391.298,391.298,391.298,391.298,0.005
5,1.600,177.648,159.136,160.964,165.028,173.829,265.599,265.599,265.599,265.599,0.006
10,0.800,178.984,159.675,160.497,193.046,202.716,202.716,202.716,202.716,202.716,0.006
15,2.200,170.495,160.425,162.310,163.505,173.316,191.745,199.397,199.397,199.397,0.006
20,1.200,161.795,156.540,158.188,159.028,159.582,178.827,178.827,178.827,178.827,0.006
25,1.000,172.432,159.301,161.434,173.512,174.565,193.349,193.349,193.349,193.349,0.006
30,1.600,171.152,165.535,166.709,169.456,179.597,183.179,183.179,183.179,183.179,0.006
35,1.200,179.652,166.258,166.504,178.926,193.845,194.375,194.375,194.375,194.375,0.006
40,1.600,174.613,163.591,167.486,177.641,178.478,190.804,190.804,190.804,190.804,0.006
45,2.000,174.885,164.737,166.670,168.252,177.336,214.882,214.882,214.882,214.882,0.006
50,1.800,189.098,170.823,176.338,187.484,199.638,219.979,219.979,219.979,219.979,0.005
55,0.400,184.796,167.613,167.613,201.979,201.979,201.979,201.979,201.979,201.979,0.005
60,0.400,171.514,165.271,165.271,177.756,177.756,177.756,177.756,177.756,177.756,0.006
65,0.800,175.259,164.721,166.782,176.236,193.297,193.297,193.297,193.297,193.297,0.006
70,0.200,165.495,165.495,165.495,165.495,165.495,165.495,165.495,165.495,165.495,0.006
75,1.200,178.195,164.485,164.972,178.829,191.123,193.288,193.288,193.288,193.288,0.006
80,1.800,173.829,162.659,163.618,175.320,177.552,204.751,204.751,204.751,204.751,0.006
85,0.400,178.519,165.742,165.742,191.296,191.296,191.296,191.296,191.296,191.296,0.006
90,0.800,172.594,162.111,174.196,176.533,177.535,177.535,177.535,177.535,177.535,0.006
95,1.600,180.098,163.371,166.528,178.557,203.292,206.078,206.078,206.078,206.078,0.006
100,1.400,172.985,163.807,163.873,164.527,178.773,198.336,198.336,198.336,198.336,0.006
105,0.800,172.277,162.531,166.328,179.439,180.808,180.808,180.808,180.808,180.808,0.006
110,1.600,176.484,165.763,166.630,181.129,182.458,190.803,190.803,190.803,190.803,0.006
115,1.000,187.109,165.809,181.619,185.005,186.730,216.381,216.381,216.381,216.381,0.005
120,0.800,170.738,164.045,165.020,176.226,177.661,177.661,177.661,177.661,177.661,0.006
125,1.000,166.161,161.516,162.543,164.358,166.376,176.012,176.012,176.012,176.012,0.006
130,0.400,174.437,174.426,174.426,174.448,174.448,174.448,174.448,174.448,174.448,0.006
135,1.200,178.356,163.055,163.931,174.645,178.984,225.359,225.359,225.359,225.359,0.006
140,1.000,176.285,162.891,164.050,178.768,180.756,194.958,194.958,194.958,194.958,0.006
145,0.400,165.027,164.042,164.042,166.012,166.012,166.012,166.012,166.012,166.012,0.006
150,1.000,162.154,161.692,161.961,162.061,162.299,162.755,162.755,162.755,162.755,0.006
155,1.800,173.361,162.523,163.098,164.196,175.696,218.319,218.319,218.319,218.319,0.006
160,1.000,177.940,163.180,170.020,174.984,179.527,201.990,201.990,201.990,201.990,0.006
165,0.400,185.670,162.513,162.513,208.827,208.827,208.827,208.827,208.827,208.827,0.005
170,0.200,178.876,178.876,178.876,178.876,178.876,178.876,178.876,178.876,178.876,0.006
175,0.200,214.796,214.796,214.796,214.796,214.796,214.796,214.796,214.796,214.796,0.005
180,3.000,184.245,165.557,172.444,179.100,194.296,206.059,210.305,210.305,210.305,0.005
185,0.800,172.914,163.321,172.923,175.533,179.879,179.879,179.879,179.879,179.879,0.006
190,0.200,200.233,200.233,200.233,200.233,200.233,200.233,200.233,200.233,200.233,0.005
195,1.000,178.017,165.962,168.348,174.228,177.333,204.215,204.215,204.215,204.215,0.006
200,0.600,211.377,166.504,166.504,173.368,294.259,294.259,294.259,294.259,294.259,0.005
205,1.000,194.595,164.355,165.343,166.033,166.762,310.481,310.481,310.481,310.481,0.005
210,1.400,183.840,165.690,169.660,181.986,192.740,209.598,209.598,209.598,209.598,0.005
215,0.600,188.788,176.663,176.663,181.639,208.063,208.063,208.063,208.063,208.063,0.005
220,1.600,182.411,166.014,170.552,181.903,193.428,209.189,209.189,209.189,209.189,0.005
225,2.600,174.902,164.553,168.781,173.053,179.331,182.011,200.388,200.388,200.388,0.006
230,0.400,174.615,165.532,165.532,183.698,183.698,183.698,183.698,183.698,183.698,0.006
235,0.200,176.134,176.134,176.134,176.134,176.134,176.134,176.134,176.134,176.134,0.006
240,0.400,176.701,170.666,170.666,182.735,182.735,182.735,182.735,182.735,182.735,0.006
