Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,75,13.35,4.64,5.723,6.755,15.379,30.019,37.945,79.535,79.535,0.075
1,94,10.609,2.476,4.689,6.244,15.537,21.909,28.534,34.723,34.723,0.094
2,130,7.657,1.774,3.353,4.461,11.018,14.027,15.605,31.761,36.809,0.131
3,148,6.778,1.427,2.849,4.272,10.347,12.359,14.032,22.226,23.016,0.148
4,149,6.689,1.53,2.809,6.156,9.656,12.042,13.726,21.353,22.246,0.149
5,156,6.415,1.447,2.662,5.787,9.506,11.205,17.789,19.551,19.797,0.156
6,154,6.442,1.424,2.726,6.228,9.487,11.429,17.095,19.996,20.184,0.155
7,158,6.3,1.323,2.57,5.691,9.096,11.266,18.487,19.269,20.213,0.159
8,182,5.488,1.32,2.573,2.899,7.996,10.805,11.766,20.595,20.623,0.182
9,91,17.635,1.333,2.59,3,9.632,11.207,12.713,1071.741,1071.741,0.057
10,65,6.13,1.332,2.569,6.019,9.07,10.915,11.472,19.144,19.144,0.163
11,169,5.857,1.313,2.499,2.94,8.8,10.937,11.756,20.098,20.556,0.171
12,178,5.602,1.179,2.512,2.993,8.379,10.784,12.175,19.114,19.211,0.179
13,150,6.683,1.46,2.666,3.576,10.137,12.291,19.375,21.935,31.234,0.15
14,181,5.493,1.304,2.561,2.946,8.266,10.754,11.834,19.228,19.723,0.182
15,174,5.74,1.189,2.434,5.555,8.706,10.673,11.698,18.635,20.663,0.174
16,173,5.772,1.351,2.312,2.875,8.837,10.532,10.979,19.243,21.494,0.173
17,180,5.542,1.209,2.346,3.068,8.34,10.604,12.128,19.269,20.526,0.18
18,70,25.802,1.253,2.406,5.58,9.268,11.268,18.17,1391.081,1391.081,0.039
19,28,7.192,1.494,2.554,7.394,9.78,18.537,19.063,19.121,19.121,0.139
20,150,6.598,1.258,2.426,5.969,9.493,11.111,18.492,19.575,27.886,0.152
21,173,5.805,1.179,2.372,2.76,8.178,10.269,18.465,19.362,19.408,0.172
22,155,6.376,1.376,2.438,6.091,9.584,11.076,12.229,19.127,21.768,0.157
23,185,5.388,1.251,2.372,2.635,8.27,10.773,12.194,19.523,20.007,0.186
24,167,5.977,1.278,2.428,2.951,9.3,11.7,12.219,19.57,19.666,0.167
25,171,5.83,1.158,2.393,2.861,8.504,10.575,18.607,19.808,21.253,0.172
26,175,5.699,1.203,2.422,2.89,8.78,10.721,12.091,18.904,20.031,0.175
27,159,6.294,1.215,2.48,5.843,9.446,11.45,14.711,18.98,19.543,0.159
28,176,5.677,1.063,2.389,2.815,8.455,10.773,11.954,19.94,21.166,0.176
29,178,5.587,1.364,2.333,2.815,8.571,10.744,11.514,19.126,19.897,0.179
30,188,5.32,1.228,2.252,2.711,7.678,10.029,10.843,19.223,25.877,0.188
31,170,5.862,1.152,2.275,5.557,8.969,10.547,11.284,17.787,17.888,0.171
32,191,5.201,1.163,2.328,2.61,8.388,10.205,11.667,19.061,19.109,0.192
33,179,5.572,1.088,2.19,4.979,8.508,10.386,17.128,17.726,18.776,0.179
34,73,16.052,1.117,2.139,2.308,8.156,10.245,16.925,820.387,820.387,0.062
35,140,5.965,0.977,2.305,5.119,8.609,10.931,12.959,18.774,28.728,0.168
36,157,6.303,1.282,2.393,5.469,9.34,11.563,13.594,20.026,21.414,0.159
37,167,5.98,1.126,2.495,4.815,8.793,11.165,12.203,21.501,21.742,0.167
38,144,6.941,1.12,2.62,6.594,10.138,11.976,12.981,19.699,20.782,0.144
39,170,5.867,1.141,2.258,5.222,8.733,10.727,17.184,18.208,19.16,0.17
40,189,5.259,1.115,2.141,2.505,8.163,10.211,16.192,17.603,17.759,0.19
41,183,5.448,1.395,2.245,2.727,8.125,10.568,11.271,18.403,18.654,0.184
42,242,4.128,0.929,1.835,2.312,6.264,8.296,9.857,15.123,17.321,0.242
43,202,4.938,0.852,1.908,2.652,7.158,9.293,14.046,17.719,18.287,0.203
44,205,4.88,0.939,1.818,4.113,7.131,8.788,14.656,15.278,17.992,0.205
45,198,5.028,0.92,2.056,4.074,7.219,9.611,14.856,17.677,17.912,0.199
46,199,5.019,0.932,2.091,2.48,7.81,10.302,11.348,17.685,17.845,0.199
47,211,4.802,0.866,2.016,2.478,6.968,10.015,11.07,17.674,18.474,0.208
48,143,17.513,1.218,2.342,5.328,8.8,10.352,18.202,18.909,1671.447,0.057
49,0,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-1000
50,75,6.416,1.169,2.375,5.431,9.555,11.878,18.146,19.207,19.207,0.156
51,173,5.761,1.278,2.347,2.772,8.8,11.025,12.283,19.136,19.236,0.174
52,179,5.577,1.211,2.271,2.821,8.006,10.529,17.496,18.249,21.122,0.179
53,196,5.099,1.122,2.078,2.341,7.556,9.955,16.916,17.822,17.892,0.196
54,194,5.148,1.07,2.164,2.545,7.741,10.142,11.087,18.295,19.41,0.194
55,182,5.487,1.07,2.174,2.538,8.744,10.664,11.516,19.225,20.206,0.182
56,191,5.232,1.15,2.234,2.385,8.049,10.874,12.202,19.311,19.39,0.191
57,185,5.37,1.226,2.287,2.677,7.905,10.433,11.443,18.682,19.279,0.186
58,195,5.148,1.134,2.228,2.783,7.971,9.756,10.792,17.477,17.78,0.194
59,190,5.259,0.873,1.849,4.599,7.621,9.694,14.676,20.005,21.352,0.19
60,210,4.738,0.903,1.842,4.544,7,8.575,8.984,15.065,15.119,0.211
61,230,4.344,0.919,1.835,2.649,6.606,8.259,8.797,14.783,15.037,0.23
62,189,5.276,0.927,2.184,4.787,7.602,9.603,10.884,18.417,19.209,0.19
63,208,4.799,0.938,1.885,2.406,7.397,8.994,10.763,17.469,17.792,0.208
64,15,131.06,0.942,1.892,5.93,8.965,15.07,1883.96,1883.96,1883.96,0.008
65,7,6.052,0.963,1.968,5.376,9.185,15.699,15.699,15.699,15.699,0.165
66,210,4.712,0.915,1.885,2.253,7.146,8.835,14.94,15.408,26.245,0.212
67,196,5.101,0.965,2.205,2.397,7.511,10.316,17.161,18.711,18.728,0.196
68,184,5.424,1.072,2.254,2.653,8.388,10.396,10.959,18.592,18.643,0.184
69,199,5.016,1.056,2.257,2.677,7.783,9.789,10.825,17.519,17.886,0.199
70,168,5.969,1.088,2.262,5.472,8.489,10.847,17.585,18.28,18.452,0.168
71,199,4.993,1.18,2.27,2.502,7.947,9.582,10.758,18.434,18.54,0.2
72,172,5.83,1.307,2.278,5.664,8.68,10.556,11.281,17.807,21.494,0.172
73,198,5.039,1.075,2.223,2.643,7.554,9.907,10.687,18.239,18.895,0.198
74,173,5.783,1.289,2.275,5.162,8.622,10.584,17.555,18.314,18.529,0.173
75,186,5.34,1.193,2.233,2.533,8.027,10.59,11.042,18.434,20.472,0.187
76,186,5.378,1.041,2.181,2.886,8.232,9.692,11.51,18.477,18.784,0.186
77,167,5.993,1.079,2.269,5.492,8.446,11.404,18.783,19.43,33.153,0.167
78,189,5.28,1.071,2.24,2.429,7.985,10.7,11.718,19.053,19.343,0.189
79,175,5.678,1.095,2.275,5.23,9.123,10.392,11.594,18.29,18.398,0.176
80,14,89.577,2.178,2.255,5.152,8.701,18.434,1183.856,1183.856,1183.856,0.011
81,148,5.068,1.242,2.17,2.54,7.435,9.95,10.557,17.809,18.091,0.197
82,186,5.362,1.064,2.205,2.634,8.404,10.436,10.808,18.04,18.14,0.186
83,180,5.584,1.065,2.239,2.663,8.639,10.581,15.914,18.645,19.022,0.179
84,173,5.711,1.167,2.371,5.875,8.876,10.471,11.408,12.946,18.716,0.175
85,171,5.836,1.363,2.39,2.741,8.481,10.604,13.461,19.073,19.091,0.171
86,184,5.423,1.156,2.259,2.544,8.212,10.529,11.088,18.267,18.476,0.184
87,196,5.123,1.038,2.162,2.449,7.912,10.07,10.734,18.31,18.328,0.195
88,189,5.253,1.242,2.155,2.538,7.623,9.945,11.023,19.937,21.831,0.19
89,192,5.232,0.969,2.07,2.511,7.8,10.192,16.281,17.439,17.55,0.191
90,194,5.116,1.001,2.064,4.763,7.495,9.525,10.225,16.712,17.138,0.195
91,185,5.436,1.029,2.151,2.342,8.491,10.649,17.216,17.697,18.001,0.184
92,164,6.041,1.143,2.266,5.273,9.612,11.203,12.621,18.659,18.702,0.166
93,168,5.968,1.034,2.286,5.492,8.35,11.136,17.8,18.292,18.329,0.168
94,174,5.743,1.356,2.278,5.169,8.92,10.724,12.526,19.105,19.254,0.174
