Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2.000,185.656,167.805,167.805,203.506,203.506,203.506,203.506,203.506,203.506,0.005
1,6.000,133.797,104.343,114.085,137.493,161.063,168.469,168.469,168.469,168.469,0.007
2,5.000,131.162,109.820,113.806,126.182,149.937,156.065,156.065,156.065,156.065,0.008
3,5.000,142.249,113.766,137.682,137.844,159.735,162.220,162.220,162.220,162.220,0.007
4,2.000,133.345,107.647,107.647,159.042,159.042,159.042,159.042,159.042,159.042,0.007
5,6.000,122.499,89.917,99.725,135.582,149.470,158.486,158.486,158.486,158.486,0.008
6,2.000,124.507,101.831,101.831,147.182,147.182,147.182,147.182,147.182,147.182,0.008
7,6.000,121.296,86.579,88.542,134.956,150.184,162.549,162.549,162.549,162.549,0.008
8,4.000,116.893,98.856,99.088,110.499,159.129,159.129,159.129,159.129,159.129,0.009
9,5.000,134.276,116.763,116.796,128.934,149.823,159.064,159.064,159.064,159.064,0.007
10,2.000,118.670,117.289,117.289,120.050,120.050,120.050,120.050,120.050,120.050,0.008
11,3.000,119.924,107.655,107.655,117.180,134.937,134.937,134.937,134.937,134.937,0.008
12,5.000,135.552,99.064,126.011,134.780,149.711,168.195,168.195,168.195,168.195,0.007
13,4.000,116.911,95.542,99.056,125.650,147.395,147.395,147.395,147.395,147.395,0.009
14,5.000,127.088,99.180,116.560,119.641,143.818,156.243,156.243,156.243,156.243,0.008
15,2.000,112.555,105.511,105.511,119.599,119.599,119.599,119.599,119.599,119.599,0.009
16,6.000,104.495,86.351,99.236,101.972,110.115,129.378,129.378,129.378,129.378,0.010
17,7.000,119.411,89.819,99.967,107.633,149.771,168.235,168.235,168.235,168.235,0.008
18,5.000,142.220,128.756,144.027,144.162,144.413,149.741,149.741,149.741,149.741,0.007
19,6.000,124.548,78.308,98.783,135.189,150.003,153.109,153.109,153.109,153.109,0.008
20,7.000,131.869,105.347,110.302,119.581,159.397,167.857,167.857,167.857,167.857,0.008
21,5.000,129.383,98.671,119.697,134.297,144.374,149.876,149.876,149.876,149.876,0.008
22,3.000,133.883,98.376,98.376,141.423,161.850,161.850,161.850,161.850,161.850,0.007
23,4.000,139.918,107.775,135.133,152.307,164.456,164.456,164.456,164.456,164.456,0.007
24,6.000,149.696,94.878,119.548,167.771,173.867,179.831,179.831,179.831,179.831,0.007
25,1.000,148.898,148.898,148.898,148.898,148.898,148.898,148.898,148.898,148.898,0.007
26,5.000,121.434,105.079,106.665,117.000,138.278,140.147,140.147,140.147,140.147,0.008
27,4.000,117.597,80.539,122.521,125.708,141.618,141.618,141.618,141.618,141.618,0.009
28,4.000,131.091,92.835,129.022,146.699,155.807,155.807,155.807,155.807,155.807,0.008
29,5.000,123.984,86.953,98.302,128.575,147.463,158.626,158.626,158.626,158.626,0.008
30,2.000,137.762,132.364,132.364,143.160,143.160,143.160,143.160,143.160,143.160,0.007
31,5.000,142.549,110.994,125.744,140.677,140.967,194.363,194.363,194.363,194.363,0.007
32,5.000,133.275,110.656,119.882,129.138,147.488,159.211,159.211,159.211,159.211,0.008
33,3.000,144.354,129.077,129.077,138.312,165.674,165.674,165.674,165.674,165.674,0.007
34,5.000,129.575,82.059,122.493,132.310,140.391,170.623,170.623,170.623,170.623,0.008
35,7.000,108.123,77.562,80.798,105.617,116.193,165.037,165.037,165.037,165.037,0.009
36,5.000,139.692,95.897,129.683,153.495,157.459,161.924,161.924,161.924,161.924,0.007
37,6.000,109.602,87.406,87.680,125.372,125.776,135.482,135.482,135.482,135.482,0.009
38,6.000,102.921,82.848,95.902,105.199,111.211,117.186,117.186,117.186,117.186,0.010
39,4.000,137.360,125.915,131.912,143.896,147.715,147.715,147.715,147.715,147.715,0.007
40,5.000,121.791,84.836,105.222,131.820,139.493,147.586,147.586,147.586,147.586,0.008
41,5.000,115.942,107.873,108.341,114.028,123.169,126.299,126.299,126.299,126.299,0.009
42,5.000,116.828,99.130,107.832,113.769,131.513,131.894,131.894,131.894,131.894,0.009
43,4.000,107.204,81.180,89.596,113.567,144.474,144.474,144.474,144.474,144.474,0.009
44,5.000,132.592,93.203,105.140,116.361,131.964,216.293,216.293,216.293,216.293,0.008
45,2.000,167.920,160.111,160.111,175.729,175.729,175.729,175.729,175.729,175.729,0.006
46,6.000,123.037,85.847,87.536,128.581,158.534,172.025,172.025,172.025,172.025,0.008
47,6.000,122.331,92.265,93.551,132.182,137.589,154.283,154.283,154.283,154.283,0.008
48,2.000,116.846,116.168,116.168,117.524,117.524,117.524,117.524,117.524,117.524,0.009
49,4.000,136.875,108.370,113.902,157.596,167.633,167.633,167.633,167.633,167.633,0.007
