Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.000,143.057,71.878,77.766,77.773,98.491,389.379,389.379,389.379,389.379,0.007
1,2.000,79.524,77.872,77.872,81.175,81.175,81.175,81.175,81.175,81.175,0.013
2,4.000,83.553,77.284,77.597,83.496,95.836,95.836,95.836,95.836,95.836,0.012
3,3.000,80.624,71.405,71.405,74.494,95.972,95.972,95.972,95.972,95.972,0.012
4,5.000,78.597,69.452,76.864,77.465,80.178,89.025,89.025,89.025,89.025,0.013
5,4.000,78.059,66.016,68.507,77.794,99.918,99.918,99.918,99.918,99.918,0.013
6,5.000,76.567,65.295,72.023,74.711,84.180,86.624,86.624,86.624,86.624,0.013
7,4.000,69.439,62.587,65.254,66.112,83.804,83.804,83.804,83.804,83.804,0.014
8,3.000,67.354,64.684,64.684,65.485,71.892,71.892,71.892,71.892,71.892,0.015
9,5.000,70.685,65.556,65.796,70.242,73.939,77.892,77.892,77.892,77.892,0.014
10,5.000,71.436,59.490,68.717,70.719,74.504,83.751,83.751,83.751,83.751,0.014
11,4.000,72.401,68.986,71.949,74.273,74.396,74.396,74.396,74.396,74.396,0.014
12,4.000,68.680,62.415,62.467,66.033,83.806,83.806,83.806,83.806,83.806,0.015
13,7.000,75.629,65.672,68.705,77.745,78.001,92.669,92.669,92.669,92.669,0.013
14,5.000,70.903,64.524,65.486,68.723,77.748,78.033,78.033,78.033,78.033,0.014
15,6.000,82.696,72.024,75.699,86.813,86.815,94.620,94.620,94.620,94.620,0.012
16,5.000,74.694,65.957,68.124,75.139,80.438,83.812,83.812,83.812,83.812,0.013
17,2.000,70.111,68.210,68.210,72.011,72.011,72.011,72.011,72.011,72.011,0.014
18,4.000,69.400,65.524,68.431,68.690,74.956,74.956,74.956,74.956,74.956,0.014
19,4.000,65.657,59.486,62.566,68.458,72.118,72.118,72.118,72.118,72.118,0.015
20,1.000,71.965,71.965,71.965,71.965,71.965,71.965,71.965,71.965,71.965,0.014
21,4.000,79.361,68.451,77.439,78.341,93.214,93.214,93.214,93.214,93.214,0.013
22,8.000,78.264,65.715,71.935,83.820,83.862,87.199,87.199,87.199,87.199,0.013
23,5.000,74.999,65.912,65.953,66.007,83.896,93.228,93.228,93.228,93.228,0.013
24,1.000,116.455,116.455,116.455,116.455,116.455,116.455,116.455,116.455,116.455,0.009
25,4.000,109.414,95.746,102.938,119.219,119.753,119.753,119.753,119.753,119.753,0.009
26,4.000,90.368,62.147,77.826,96.734,124.763,124.763,124.763,124.763,124.763,0.011
27,6.000,76.648,69.274,75.323,77.948,79.128,80.461,80.461,80.461,80.461,0.013
28,7.000,71.461,62.751,65.919,69.227,77.831,77.895,77.895,77.895,77.895,0.014
29,5.000,76.171,69.250,77.776,77.869,77.961,78.000,78.000,78.000,78.000,0.013
30,6.000,76.909,68.624,77.729,77.988,78.060,81.320,81.320,81.320,81.320,0.013
31,4.000,66.612,59.669,62.900,65.996,77.884,77.884,77.884,77.884,77.884,0.015
32,4.000,64.103,62.214,62.244,62.555,69.398,69.398,69.398,69.398,69.398,0.016
33,9.000,65.046,59.380,62.695,65.862,65.949,71.835,71.835,71.835,71.835,0.015
34,5.000,70.382,59.071,65.874,65.936,69.343,91.688,91.688,91.688,91.688,0.014
35,4.000,74.473,59.576,65.859,65.928,106.530,106.530,106.530,106.530,106.530,0.013
36,5.000,62.074,58.634,60.999,62.155,62.707,65.875,65.875,65.875,65.875,0.016
37,4.000,61.021,59.465,59.982,62.233,62.405,62.405,62.405,62.405,62.405,0.016
38,6.000,63.586,62.056,62.470,62.624,65.879,65.929,65.929,65.929,65.929,0.016
39,6.000,63.054,59.813,62.121,62.535,65.863,65.866,65.866,65.866,65.866,0.016
40,6.000,67.718,59.329,62.654,65.974,74.676,77.762,77.762,77.762,77.762,0.015
41,7.000,67.044,59.801,62.184,65.905,71.640,77.799,77.799,77.799,77.799,0.015
42,5.000,61.522,59.429,59.804,59.920,62.564,65.893,65.893,65.893,65.893,0.016
43,5.000,67.037,65.594,65.847,65.968,68.741,69.037,69.037,69.037,69.037,0.015
