Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,7.000,155.228,71.878,77.766,98.491,203.506,389.379,389.379,389.379,389.379,0.006
1,8.000,120.228,77.872,104.343,117.326,161.063,168.469,168.469,168.469,168.469,0.008
2,10.000,100.639,16.371,77.597,109.820,126.182,156.065,156.065,156.065,156.065,0.010
3,8.000,119.140,71.405,95.972,137.682,159.735,162.220,162.220,162.220,162.220,0.008
4,8.000,125.221,69.452,77.465,89.025,159.042,342.096,342.096,342.096,342.096,0.008
5,11.000,96.109,9.971,68.507,99.725,135.582,149.470,158.486,158.486,158.486,0.010
6,8.000,118.339,65.295,74.711,86.624,147.182,314.863,314.863,314.863,314.863,0.008
7,11.000,92.887,16.224,65.254,86.579,134.956,150.184,162.549,162.549,162.549,0.011
8,8.000,122.695,64.684,71.892,99.088,159.129,311.926,311.926,311.926,311.926,0.008
9,12.000,89.117,19.211,65.796,77.892,128.934,149.823,159.064,159.064,159.064,0.011
10,11.000,89.896,15.296,42.889,70.719,117.289,120.050,320.746,320.746,320.746,0.011
11,8.000,120.144,68.986,74.273,107.655,134.937,311.776,311.776,311.776,311.776,0.008
12,10.000,96.786,15.376,62.467,99.064,134.780,168.195,168.195,168.195,168.195,0.010
13,11.000,90.640,65.672,68.782,78.001,99.056,125.650,147.395,147.395,147.395,0.011
14,11.000,90.821,9.080,65.486,78.033,119.641,143.818,156.243,156.243,156.243,0.011
15,12.000,89.443,8.488,72.024,86.813,105.511,119.599,311.810,311.810,311.810,0.011
16,11.000,90.949,65.957,75.139,86.351,101.972,110.115,129.378,129.378,129.378,0.011
17,9.000,108.456,68.210,89.819,103.803,116.651,168.235,168.235,168.235,168.235,0.009
18,9.000,109.856,65.524,68.690,128.756,144.162,149.741,149.741,149.741,149.741,0.009
19,10.000,100.992,59.486,68.458,98.783,135.189,153.109,153.109,153.109,153.109,0.010
