Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,7,7.000,71878,77766,98491,155228,203506,389379,389379,389379,389379
1,8,8.000,77872,104343,117326,120228,161063,168469,168469,168469,168469
2,10,10.000,16371,77597,109820,100639,126182,156065,156065,156065,156065
3,8,8.000,71405,95972,137682,119139,159735,162220,162220,162220,162220
4,8,8.000,69452,77465,89025,125221,159042,342096,342096,342096,342096
5,11,11.000,9971,68507,99725,96109,135582,149470,158486,158486,158486
6,8,8.000,65295,74711,86624,118338,147182,314863,314863,314863,314863
7,11,11.000,16224,65254,86579,92886,134956,150184,162549,162549,162549
8,8,8.000,64684,71892,99088,122694,159129,311926,311926,311926,311926
9,12,12.000,19211,65796,77892,89117,128934,149823,159064,159064,159064
10,11,11.000,15296,42889,70719,89896,117289,120050,320746,320746,320746
11,8,8.000,68986,74273,107655,120144,134937,311776,311776,311776,311776
12,10,10.000,15376,62467,99064,96785,134780,168195,168195,168195,168195
13,11,11.000,65672,68782,78001,90640,99056,125650,147395,147395,147395
14,11,11.000,9080,65486,78033,90821,119641,143818,156243,156243,156243
15,12,12.000,8488,72024,86813,89442,105511,119599,311810,311810,311810
16,11,11.000,65957,75139,86351,90949,101972,110115,129378,129378,129378
17,9,9.000,68210,89819,103803,108455,116651,168235,168235,168235,168235
18,9,9.000,65524,68690,128756,109855,144162,149741,149741,149741,149741
19,10,10.000,59486,68458,98783,100991,135189,153109,153109,153109,153109
20,8,8.000,71965,110302,119581,124380,159397,167857,167857,167857,167857
21,11,11.000,8618,68451,93214,89797,134297,144374,149876,149876,149876
22,11,11.000,65715,71935,83826,93432,98376,141423,161850,161850,161850
23,9,9.000,65912,66007,93228,103851,135133,164456,164456,164456,164456
24,8,8.000,8906,116455,162282,127942,173867,179831,179831,179831,179831
25,7,7.000,28698,95746,119219,150458,148898,437959,437959,437959,437959
26,12,12.000,7384,62147,105079,83348,124763,138278,140147,140147,140147
27,10,10.000,69274,77754,80461,93027,122521,141618,141618,141618,141618
28,12,12.000,15187,68841,77831,86648,129022,146699,155807,155807,155807
29,10,10.000,69250,77869,86953,100077,128575,158626,158626,158626,158626
30,9,9.000,68624,77731,78060,116503,132364,311559,311559,311559,311559
31,9,9.000,59669,65996,110994,108799,140677,194363,194363,194363,194363
32,9,9.000,62214,62555,110656,102531,129138,159211,159211,159211,159211
33,12,12.000,59380,65735,65949,84872,129077,138312,165674,165674,165674
34,10,10.000,59071,65936,91688,99978,132310,170623,170623,170623,170623
35,11,11.000,59576,65928,99072,95886,112579,116193,165037,165037,165037
36,14,14.000,9474,10923,62707,74928,129683,157459,161924,161924,161924
37,11,11.000,8600,59982,87406,82754,125372,125776,135482,135482,135482
38,13,13.000,19482,62558,65929,78348,105182,111211,117186,117186,117186
39,11,11.000,15780,62121,65863,85776,131912,143896,147715,147715,147715
40,13,13.000,14242,62654,74676,80661,105222,139493,147586,147586,147586
41,12,12.000,59801,65905,77799,87418,114028,123169,126299,126299,126299
42,12,12.000,8311,59804,65893,76344,113769,131513,131894,131894,131894
43,11,11.000,15478,65847,69037,99779,113567,144474,318090,318090,318090
44,7,7.000,93203,105140,118509,134450,159685,216293,216293,216293,216293
45,6,6.000,105806,111926,160111,176885,175729,350571,350571,350571,350571
46,10,10.000,65552,73835,87536,102498,128581,172025,172025,172025,172025
47,11,11.000,16269,69647,92265,91320,132182,137589,154283,154283,154283
48,6,6.000,77902,89985,116168,144152,117524,347996,347996,347996,347996
49,11,11.000,16815,69364,77825,92912,113902,157596,167633,167633,167633
50,10,10.000,68023,83799,98202,100907,120209,150055,150055,150055,150055
51,9,9.000,81634,91894,119763,114188,134051,155923,155923,155923,155923
52,14,14.000,15501,18073,77766,84741,101705,132285,329496,329496,329496
53,7,7.000,10319,71427,120036,110440,167208,186154,186154,186154,186154
54,14,14.000,9671,11456,83161,71552,116391,166548,173722,173722,173722
55,10,10.000,15747,81150,113858,104331,139542,153483,153483,153483,153483
56,9,9.000,9759,65643,67980,108478,149116,355791,355791,355791,355791
57,7,7.000,71969,77769,77864,143846,311811,311811,311811,311811,311811
58,11,11.000,10495,66072,87315,90951,108172,141295,164663,164663,164663
59,9,9.000,16264,68985,92094,96146,130866,146838,146838,146838,146838
