Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1712324027.639318,16562,0,1
1,NewOrder,1712324027.656088,17644,0,1
1,NewOrder,1712324027.673758,11976,0,1
1,NewOrder,1712324027.685757,17927,0,1
3,OrderStatus,1712324027.703702,4426,0,1
3,OrderStatus,1712324027.708145,2003,0,1
3,OrderStatus,1712324027.710164,3352,0,1
1,NewOrder,1712324027.713536,8205,0,1
2,Payment,1712324027.721762,17900,0,1
2,Payment,1712324027.739676,5970,0,1
1,NewOrder,1712324027.745659,11944,0,1
2,Payment,1712324027.757622,5993,0,1
2,Payment,1712324027.763638,6027,0,1
1,NewOrder,1712324027.769696,11985,0,1
1,NewOrder,1712324027.781710,5893,0,1
2,Payment,1712324027.787620,6018,0,1
3,OrderStatus,1712324027.793657,2214,0,1
2,Payment,1712324027.795901,9723,0,1
2,Payment,1712324027.805647,5999,0,1
5,StockLevel,1712324027.811677,5000,0,1
1,NewOrder,1712324027.816706,12934,0,1
1,NewOrder,1712324027.829669,11972,0,1
2,Payment,1712324027.841672,5910,0,1
2,Payment,1712324027.847610,6036,0,1
1,NewOrder,1712324027.853675,11964,0,1
1,NewOrder,1712324027.865658,5942,0,1
1,NewOrder,1712324027.871618,6052,0,1
1,NewOrder,1712324027.877699,12052,0,1
1,NewOrder,1712324027.889780,12054,0,1
2,Payment,1712324027.901869,5867,0,1
2,Payment,1712324027.907765,6014,0,1
2,Payment,1712324027.913808,5919,0,1
2,Payment,1712324027.919761,5978,0,1
1,NewOrder,1712324027.925768,11990,0,1
1,NewOrder,1712324027.937789,5922,0,1
1,NewOrder,1712324027.943738,12088,0,1
1,NewOrder,1712324027.955865,11949,0,1
1,NewOrder,1712324027.967857,5995,0,1
1,NewOrder,1712324027.973898,17988,0,1
4,Delivery,1712324027.991917,30153,0,1
1,NewOrder,1712324028.022100,11982,0,1
1,NewOrder,1712324028.034113,11981,0,1
1,NewOrder,1712324028.046124,11958,0,1
2,Payment,1712324028.058128,5977,0,1
1,NewOrder,1712324028.064140,11998,0,1
2,Payment,1712324028.076169,5974,0,1
1,NewOrder,1712324028.082174,12026,0,1
2,Payment,1712324028.094230,5945,0,1
1,NewOrder,1712324028.100206,11953,0,1
1,NewOrder,1712324028.112187,12022,0,1
2,Payment,1712324028.124240,6018,0,1
3,OrderStatus,1712324028.130291,2733,0,1
1,NewOrder,1712324028.133057,9057,0,1
1,NewOrder,1712324028.142136,6032,0,1
1,NewOrder,1712324028.148199,6003,0,1
2,Payment,1712324028.154229,6021,0,1
2,Payment,1712324028.160279,5919,0,1
2,Payment,1712324028.166227,5978,0,1
2,Payment,1712324028.172237,5895,0,1
2,Payment,1712324028.178164,5953,0,1
2,Payment,1712324028.184148,6007,0,1
2,Payment,1712324028.190187,5985,0,1
1,NewOrder,1712324028.196203,11961,0,1
1,NewOrder,1712324028.208195,12037,0,1
1,NewOrder,1712324028.220275,11901,0,1
2,Payment,1712324028.232228,5902,0,1
1,NewOrder,1712324028.238167,11948,0,1
1,NewOrder,1712324028.250145,12144,0,1
1,NewOrder,1712324028.262317,11952,0,1
2,Payment,1712324028.274300,5895,0,1
2,Payment,1712324028.280226,5983,0,1
2,Payment,1712324028.286243,5919,0,1
2,Payment,1712324028.292192,5986,0,1
1,NewOrder,1712324028.298223,12004,0,1
1,NewOrder,1712324028.310263,11973,0,1
2,Payment,1712324028.322266,5900,0,1
2,Payment,1712324028.328197,5920,0,1
1,NewOrder,1712324028.334148,12102,0,1
2,Payment,1712324028.346282,6025,0,1
1,NewOrder,1712324028.352338,5834,0,1
5,StockLevel,1712324028.358199,3018,0,1
2,Payment,1712324028.361244,9020,0,1
2,Payment,1712324028.370295,5901,0,1
2,Payment,1712324028.376227,6001,0,1
2,Payment,1712324028.382260,5906,0,1
2,Payment,1712324028.388197,5952,0,1
2,Payment,1712324028.394179,6053,0,1
1,NewOrder,1712324028.400263,11877,0,1
5,StockLevel,1712324028.412171,2592,0,1
1,NewOrder,1712324028.414789,9391,0,1
2,Payment,1712324028.424212,5976,0,1
2,Payment,1712324028.430218,5905,0,1
1,NewOrder,1712324028.436154,12036,0,1
1,NewOrder,1712324028.448221,11996,0,1
1,NewOrder,1712324028.460247,11994,0,1
1,NewOrder,1712324028.472271,11968,0,1
2,Payment,1712324028.484271,5886,0,1
2,Payment,1712324028.490188,5989,0,1
1,NewOrder,1712324028.496207,12065,0,1
5,StockLevel,1712324028.508303,2446,0,1
1,NewOrder,1712324028.510780,9443,0,1
2,Payment,1712324028.520255,5913,0,1
1,NewOrder,1712324028.526198,12121,0,1
2,Payment,1712324028.538352,5938,0,1
2,Payment,1712324028.544321,5910,0,1
1,NewOrder,1712324028.550268,11999,0,1
1,NewOrder,1712324028.562297,5975,0,1
2,Payment,1712324028.568303,5949,0,1
2,Payment,1712324028.574283,6015,0,1
1,NewOrder,1712324028.580335,11978,0,1
2,Payment,1712324028.592345,5898,0,1
1,NewOrder,1712324028.598275,6043,0,1
1,NewOrder,1712324028.604349,12032,0,1
1,NewOrder,1712324028.616412,5820,0,1
1,NewOrder,1712324028.622264,5949,0,1
1,NewOrder,1712324028.628242,12128,0,1
2,Payment,1712324028.640402,5890,0,1
2,Payment,1712324028.646323,5998,0,1
2,Payment,1712324028.652353,5958,0,1
2,Payment,1712324028.658339,5954,0,1
2,Payment,1712324028.664322,5956,0,1
2,Payment,1712324028.670307,5916,0,1
5,StockLevel,1712324028.676256,3083,0,1
1,NewOrder,1712324028.679370,8872,0,1
2,Payment,1712324028.688273,5984,0,1
2,Payment,1712324028.694293,5962,0,1
1,NewOrder,1712324028.700288,11974,0,1
