Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3.600,15.412,11.917,12.072,12.186,18.051,18.172,30.153,30.153,30.153,0.065
5,5.600,12.348,9.852,12.049,12.082,12.150,13.608,18.036,18.122,18.122,0.081
10,4.600,12.228,10.137,12.001,12.075,12.138,12.214,12.230,17.528,17.528,0.082
15,6.400,12.922,11.212,12.026,12.106,12.165,18.049,18.081,18.165,18.165,0.077
20,6.800,13.514,11.407,12.031,12.107,15.158,18.047,18.169,19.441,19.441,0.074
25,6.800,13.360,10.458,12.034,12.106,12.153,12.209,17.981,51.019,51.019,0.075
30,4.800,12.580,11.968,12.041,12.085,12.152,12.189,18.044,18.095,18.095,0.079
35,5.000,13.200,10.299,12.048,12.082,12.168,18.127,18.141,18.198,18.198,0.076
40,6.800,13.408,6.075,12.062,12.106,12.188,16.955,18.102,39.345,39.345,0.075
45,3.600,12.870,11.448,12.046,12.085,12.142,17.176,18.130,18.130,18.130,0.078
50,7.200,12.782,10.315,12.016,12.085,12.149,18.006,18.042,18.133,18.133,0.078
55,6.400,12.140,9.578,12.002,12.084,12.122,12.185,12.711,18.104,18.104,0.082
