Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,64.800,9.193,3.980,5.974,9.350,12.015,12.071,12.090,17.927,49.843,0.109
5,58.800,8.909,2.857,5.952,6.021,12.003,12.061,12.085,12.306,234.208,0.112
10,66.400,8.093,2.716,5.948,6.018,11.992,12.054,12.074,12.241,36.411,0.124
15,64.600,8.019,3.689,5.949,6.021,11.948,12.050,12.067,12.141,62.835,0.125
20,64.600,8.303,3.196,5.949,6.016,11.989,12.065,12.078,14.226,73.275,0.120
25,66.600,7.781,3.534,5.951,6.014,11.949,12.044,12.062,12.098,26.931,0.129
30,64.400,8.040,2.742,5.946,6.012,11.963,12.042,12.065,12.132,29.964,0.124
35,67.600,8.606,1.911,5.943,6.015,11.965,12.055,12.103,14.300,218.863,0.116
40,62.200,8.261,2.604,5.952,6.031,11.991,12.055,12.071,12.114,18.089,0.121
45,71.200,7.903,2.004,5.953,6.029,11.947,12.053,12.078,12.124,40.888,0.127
50,70.600,7.641,2.900,5.959,6.019,11.473,12.056,12.092,12.138,25.136,0.131
55,60.000,8.750,2.631,5.965,6.040,11.998,12.066,12.092,49.422,71.117,0.114
