Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,4.600,1.926,0.940,1.242,1.808,2.377,3.009,3.352,4.426,4.426,0.519
5,4.800,1.040,0.690,0.822,1.090,1.194,1.301,1.380,1.443,1.443,0.961
10,5.000,0.890,0.524,0.788,0.857,0.972,1.146,1.274,1.288,1.288,1.123
15,7.200,0.917,0.483,0.821,0.909,1.125,1.210,1.242,1.246,1.246,1.091
20,3.200,1.039,0.562,0.840,0.918,1.097,1.241,2.946,2.946,2.946,0.963
25,6.800,0.877,0.618,0.792,0.853,0.962,1.078,1.237,1.476,1.476,1.140
30,6.200,0.832,0.460,0.730,0.840,0.976,1.034,1.047,1.075,1.075,1.203
35,4.400,0.894,0.521,0.776,0.900,0.966,1.046,1.302,1.556,1.556,1.118
40,5.800,0.819,0.533,0.734,0.814,0.942,0.994,1.010,1.125,1.125,1.221
45,6.800,0.774,0.432,0.654,0.807,0.901,0.963,1.101,1.159,1.159,1.291
50,3.600,0.761,0.515,0.648,0.751,0.814,1.000,1.212,1.212,1.212,1.313
55,6.200,0.808,0.451,0.667,0.801,0.912,1.130,1.213,1.273,1.273,1.237
