Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54.000,5.990,2.858,5.908,5.962,5.999,6.043,6.113,10.331,17.900,0.167
5,66.200,5.860,1.849,5.917,5.966,6.007,6.050,6.074,8.092,10.115,0.171
10,64.200,5.986,3.264,5.918,5.967,6.007,6.045,6.073,10.059,11.883,0.167
15,63.400,5.952,3.083,5.920,5.967,6.007,6.044,6.067,9.848,12.513,0.168
20,59.800,5.948,1.667,5.916,5.968,6.009,6.042,6.069,10.114,10.401,0.168
25,62.400,5.903,1.856,5.916,5.965,6.008,6.047,6.075,10.015,10.658,0.169
30,66.600,6.009,2.817,5.919,5.965,6.006,6.044,6.080,10.169,38.310,0.166
35,55.600,5.984,3.309,5.916,5.966,6.003,6.042,6.074,8.867,27.379,0.167
40,62.800,5.979,3.329,5.914,5.957,5.999,6.032,6.052,9.824,28.443,0.167
45,61.800,5.947,2.251,5.917,5.964,6.003,6.048,6.087,9.769,18.994,0.168
50,57.800,6.129,2.708,5.923,5.971,6.010,6.047,6.072,12.071,35.178,0.163
55,59.800,6.270,3.085,5.922,5.968,6.010,6.047,6.089,32.640,46.883,0.160
