Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,5.600,2.400,1.702,2.045,2.296,2.592,3.018,3.083,5.000,5.000,0.417
5,6.000,2.123,1.235,1.839,2.079,2.400,2.729,2.986,3.072,3.072,0.471
10,6.800,2.057,1.053,1.847,2.103,2.274,2.450,2.616,2.833,2.833,0.486
15,6.200,2.183,1.576,1.938,2.116,2.393,2.719,2.963,3.192,3.192,0.458
20,4.600,2.041,1.406,1.736,1.956,2.273,2.674,2.712,2.737,2.737,0.490
25,6.800,2.079,1.321,1.746,2.050,2.429,2.641,2.789,2.806,2.806,0.481
30,7.800,1.927,1.022,1.677,1.944,2.277,2.380,2.498,3.167,3.167,0.519
35,5.800,2.088,1.267,1.885,2.116,2.303,2.448,2.679,3.177,3.177,0.479
40,6.200,2.132,1.210,1.963,2.227,2.363,2.449,2.467,2.487,2.487,0.469
45,9.000,1.909,1.114,1.682,1.911,2.177,2.282,2.545,2.781,2.781,0.524
50,4.600,1.893,1.060,1.389,1.848,2.317,2.497,2.508,2.974,2.974,0.528
55,6.200,2.162,1.031,1.805,2.177,2.526,2.817,2.961,3.009,3.009,0.463
