Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,132.600,7.519,0.940,5.914,5.987,11.930,12.052,12.087,18.051,49.843,0.133
5,141.400,7.063,0.690,5.917,5.978,6.064,12.034,12.071,12.172,234.208,0.142
10,147.000,6.778,0.524,5.914,5.983,6.060,12.016,12.063,12.171,36.411,0.148
15,147.800,6.754,0.483,5.914,5.976,6.056,12.017,12.067,12.266,62.835,0.148
20,139.000,7.170,0.562,5.925,5.983,6.069,12.035,12.078,18.046,73.275,0.139
25,149.400,6.677,0.618,5.916,5.974,6.063,12.021,12.062,12.166,51.019,0.150
30,149.800,6.665,0.460,5.909,5.972,6.053,12.009,12.061,12.170,38.310,0.150
35,138.400,7.200,0.521,5.916,5.983,6.070,12.025,12.082,18.081,218.863,0.139
40,143.800,6.943,0.533,5.914,5.975,6.076,12.037,12.075,15.877,39.345,0.144
45,152.400,6.555,0.432,5.909,5.975,6.062,12.008,12.066,12.139,40.888,0.153
50,143.800,6.935,0.515,5.927,5.993,6.067,12.040,12.092,18.006,35.178,0.144
55,138.600,7.186,0.451,5.922,5.985,6.085,12.047,12.087,32.640,71.117,0.139
