Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,116,116.000,2003,5922,6021,8598,11981,12088,16562,17988,30153
1,131,131.000,1596,5916,5977,7621,11931,12040,12076,18035,18172
2,137,137.000,1053,5906,5992,7254,9877,12041,12074,12224,18148
3,135,135.000,940,5914,5990,7414,11927,12067,12128,18051,18169
4,144,144.000,1007,5907,5977,6903,6060,12041,12087,28068,49843
5,146,146.000,704,5926,5978,6853,6057,12045,12085,12172,18036
6,116,116.000,1106,5908,5977,8590,6078,12030,12076,17186,234208
7,150,150.000,690,5921,5986,6707,6057,12006,12049,12106,12306
8,146,146.000,817,5929,5978,6783,6072,12056,12086,12168,13608
9,149,149.000,882,5906,5978,6709,6070,12041,12055,12138,18122
10,141,141.000,853,5943,5991,7046,6067,12001,12041,12126,12241
11,144,144.000,634,5916,5985,6939,6071,12014,12043,29186,36411
12,144,144.000,531,5910,5992,6903,6076,12016,12099,12214,12242
13,152,152.000,524,5909,5980,6575,6050,12010,12061,12125,12230
14,154,154.000,745,5906,5975,6463,6040,12046,12088,12139,17528
15,153,153.000,539,5911,5968,6519,6046,12006,12063,12251,18049
16,138,138.000,620,5924,5980,7249,6114,12043,12108,18081,62835
17,146,146.000,821,5922,5992,6808,6084,12039,12063,12140,12145
18,146,146.000,483,5917,5971,6846,6057,12025,12067,12266,18165
19,156,156.000,620,5914,5975,6408,6045,11992,12051,12228,15871
20,142,142.000,1241,5927,5986,6998,6048,12026,12072,12159,18169
21,131,131.000,869,5926,6000,7642,6090,12046,12178,19441,70548
22,138,138.000,562,5929,5993,7251,9815,12035,12070,12192,18133
23,137,137.000,621,5912,5973,7298,6086,12053,12080,18047,73275
24,147,147.000,883,5922,5977,6720,6042,12031,12083,18007,18046
25,148,148.000,710,5923,5984,6756,6077,12033,12060,12166,12194
26,145,145.000,690,5914,5972,6938,6068,12027,12061,26931,51019
27,155,155.000,796,5907,5974,6369,6056,11980,12048,12106,17981
28,156,156.000,618,5904,5973,6412,6045,12025,12089,12177,12335
29,143,143.000,700,5930,5982,6951,6091,12047,12078,12132,12141
30,150,150.000,752,5920,5977,6669,6044,11992,12049,12159,12189
31,140,140.000,751,5900,5969,7108,6084,12040,12074,28372,38310
32,157,157.000,460,5853,5966,6353,6046,12001,12042,12074,18044
33,152,152.000,629,5914,5976,6577,6031,12004,12070,12130,29964
34,150,150.000,670,5910,5972,6663,6057,12019,12065,12170,18095
35,144,144.000,521,5915,5984,6897,6067,12036,12087,12126,12140
36,144,144.000,702,5926,5986,6940,6070,12009,12059,27379,37620
37,151,151.000,878,5903,5971,7872,6046,12017,12057,18198,218863
38,114,114.000,717,5910,5986,7060,9087,12059,12129,14359,18141
39,139,139.000,776,5932,5998,7167,6154,12022,12069,12750,18127
40,140,140.000,664,5920,5982,7155,9802,12043,12067,18034,18102
41,156,156.000,585,5880,5958,6371,6044,12049,12098,15877,16955
42,149,149.000,637,5909,5978,6693,6063,12020,12075,12197,16532
43,137,137.000,949,5934,5977,7295,6093,12026,12078,28443,39345
44,137,137.000,533,5921,5982,7296,9860,12051,12085,12182,18089
45,152,152.000,432,5899,5972,6540,6069,11995,12070,12124,12221
46,150,150.000,606,5919,5984,6665,6048,12013,12061,12117,12131
47,154,154.000,572,5891,5967,6495,6075,12009,12073,12142,18130
48,154,154.000,443,5921,5975,6456,6052,11954,12046,18994,40888
49,152,152.000,505,5900,5980,6621,6086,12031,12070,12139,17176
50,144,144.000,1060,5921,5980,6865,6059,12072,12106,17991,18042
51,143,143.000,515,5929,5998,6997,6071,12024,12067,12131,12206
52,160,160.000,564,5918,5993,6256,6030,11973,12078,12178,18006
53,138,138.000,624,5934,5986,7249,6075,12043,12105,26992,35178
54,134,134.000,767,5948,6010,7426,6114,12047,12094,18133,25136
55,147,147.000,756,5914,5981,6762,6077,12012,12065,12095,12124
56,154,154.000,638,5907,5975,6535,6048,12041,12066,12157,12227
57,151,151.000,451,5927,5988,6588,6049,12011,12071,12188,18104
58,121,121.000,491,5936,5999,8234,11937,12087,12163,46883,68961
59,120,120.000,574,5922,5984,8235,10366,12084,12793,49422,71117
